"linenumber","fec_committee_id","clean_name","tran_id","flag_orgind","recipient","address_one","address_two","city","state","zip","date","amount","purpose","memo_code","memo_text"
"SB17","C00576041","Salud Carbajal For Congress","501157942","ORG","SODEXO","HOUSE OF REPRSENTATIVES",,"Washington","DC","205150001","2024-03-01","1423.4","Food-beverages","X","*"
"SB17","C00576041","Salud Carbajal For Congress","501157941","ORG","SODEXO","HOUSE OF REPRSENTATIVES",,"Washington","DC","205150001","2024-03-09","1360.04","Food-beverages","X","*"
"SB17","C00844985","Hill Harper For Michigan","500663306","ORG","Georgetown Cupcake","3301 M St NW",,"Washington","DC","200073514","2024-05-15","24","Food/Beverage",,
"SB17","C00844985","Hill Harper For Michigan","500663289","ORG","Georgetown Cupcake","3301 M St NW",,"Washington","DC","200073514","2024-05-16","295.68","Food/Beverage",,
"SB17","C00576041","Salud Carbajal For Congress","501169845","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2024-05-18","251.56","Meal","X","*"
"SB17","C00576041","Salud Carbajal For Congress","501165035","ORG","Paraiso","1101 Pennsylvania Ave SE",,"Washington","DC","200032277","2024-03-07","1130.03","Fundraising event food-beverages","X","*"
"SB17","C00764381","Shontel Brown For Congress","500482169","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2023-09-27","300.96","Luncheon Food and Drinks","X","*"
"SB17","C00764381","Shontel Brown For Congress","500494169","ORG","Rasika Penn Quarter","633 D St NW",,"Washington","DC","200042904","2024-02-01","2016","Fundraising Event Food and Drinks",,
"SB17","C00764381","Shontel Brown For Congress","500462598","ORG","Rasika","633 D St NW",,"Washington","DC","200042904","2023-02-14","1051.24","Event Food and Drinks","X","* Reimbursement"
"SB17","C00764381","Shontel Brown For Congress","500472433","ORG","Corner Bakery Cafe","1828 L St NW","Ste 101","Washington","DC","200365104","2023-04-25","411.06","Fundraising Luncheon Food","X","*"
"SB21B","C00193433","Emil Ys List","SB21B-418997-300000","ORG","HILTON WASHINGTON CAPITAL","525 NEW JERSEY AVE NW",,"WASHINGTON","DC","20001","2024-08-16","556.35","Travel/Accommodation /Meals","X","Memo Entry"
"SB21b","C00250399","Automotive Free International Trade Pac","B197F81FD3DB24ED79CF","ORG","Capitol Hill Club","300 1st St SE",,"Washington","DC","200031801","2024-08-16","199.05","mtg.exp. - food, dues",,
"SB21B","C00193433","Emil Ys List","SB21B-418997-240000","ORG","AMTRAK TICKET COUNTER","1 MASSACHUSETTS AVE., NW",,"WASHINGTON","DC","20001","2024-08-16","91","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-418997-230000","ORG","AMTRAK.COM","1 MASSACHUSETTS AVE., NW",,"WASHINGTON","DC","20001","2024-08-16","60","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-418997-70000","ORG","CHIC FIL A 801","50 MASSACHUSETTS AVE NE",,"WASHINGTON","DC","20002","2024-08-16","12.31","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419026-160000","ORG","MOXY WASHINGTON DC DOWNTO","1011 K STREET NW",,"WASHINGTON","DC","20001","2024-08-16","519.46","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419026-130000","ORG","CENTROLINA","974 PALMER ALLEY",,"WASHINGTON","DC","20001","2024-08-16","279.3","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419026-120000","ORG","HOMEWOOD SUITES BY HILTON","50 M ST SE",,"WASHINGTON","DC","20003","2024-08-16","268.12","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419020-40000","ORG","TATTE #630026 CITY CENTER","1090 I STREET NW",,"WASHINGTON","DC","20268","2024-08-16","22.44","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-418994-10000","ORG","ONE BAD BABE","201 UPSHUR STREET NW",,"WASHINGTON","DC","20011","2024-08-16","81.83","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419018-20000","ORG","WA METRO SMART BENEFITS","600 5TH ST NW",,"WASHINGTON","DC","200012610","2024-08-16","574.74","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419017-30000","ORG","DC SWEET POTATO CAKE","925 17TH ST NW",,"WASHINGTON","DC","20006","2024-08-16","62.72","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-419005-10000","ORG","COURTYRD WASHNGTN DC DUPO","1733 N STREET NW",,"WASHINGTON","DC","20036","2024-08-16","240.94","Travel/Accommodation /Meals","X","Memo Entry"
"H4","C00193433","Emil Ys List","H4-419012-60000","ORG","PRET A MANGER 0079","1800 M ST NW",,"WASHINGTON","DC","20036","2024-08-16","27.45","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-418983-10000","ORG","TATTE WASHINGTON DC","1301 CONNECTICUT AVE",,"WASHINGTON","DC","20036","2024-08-16","48.22","Travel/Accommodation /Meals","X","Memo Entry"
"SB21B","C00193433","Emil Ys List","SB21B-418960-20000","ORG","UVC INC","2711 26TH ST NE",,"WASHINGTON","DC","20018","2024-08-16","22.4","Travel/Accommodation /Meals","X","Memo Entry"
"H4","C00193433","Emil Ys List","H4-418969-10000","ORG","YOURS TRULY DC","1143 NEW HAMPSHIRE AVE NW",,"WASHINGTON","DC","20037","2024-08-16","10170","Travel/Accommodation /Meals","X","Memo Entry"
"SB17","C00308742","Sherman For Congress","500636340","ORG","The Frost Group LLC","660 Pennsylvania Ave SE","Ste 202","Washington","DC","200034357","2024-01-30","2188.74","Food and Beverages",,
"SB17","C00308742","Sherman For Congress","500677678","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2024-06-10","120","Food and Beverage Expenses","X","*"
"SB21B","C00764233","Defend The Vote","500073158","ORG","New Congressional Liquors","404 1St St SE",,"Washington","DC","200031826","2024-08-15","14.42","Food and Beverage","X","*"
"SB17","C00547240","Moulton For Congress","500508700","ORG","Sanphan Thai Cuisine","653 Pennsylvania Ave SE",,"Washington","DC","200034303","2024-05-09","28.65","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500509000","ORG","Indigo DC","243 K St NE",,"Washington","DC","200023519","2024-05-23","44.01","Travel Meal",,
"SB17","C00547240","Moulton For Congress","500509001","ORG","Talay Thai","406 1ST St NE",,"Washington","DC","20003","2024-05-23","91.19","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500514595","ORG","Fight Club","633 Pennsylvania Ave SE",,"Washington","DC","200034303","2024-06-05","18.6","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500514553","ORG","Indigo DC","243 K St NE",,"Washington","DC","200023519","2024-06-28","26","Meeting Meal Expenses","X","*"
"SB21B","C00764233","Defend The Vote","500073182","ORG","New Congressional Liquors","404 1St St SE",,"Washington","DC","200031826","2024-08-15","42.61","Food and Beverage","X","*"
"SB21B","C00764233","Defend The Vote","500073160","ORG","The Eastern","360 7Th St SE",,"Washington","DC","200032504","2024-08-15","28","Food and Beverage","X","*"
"SB21B","C00764233","Defend The Vote","500073161","ORG","The Eastern","360 7Th St SE",,"Washington","DC","200032504","2024-08-15","86.03","Food and Beverage","X","*"
"SB17","C00547240","Moulton For Congress","500506554","ORG","Indigo DC","243 K St NE",,"Washington","DC","200023519","2024-04-17","47.11","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500506570","ORG","Sanphan Thai Cuisine","653 Pennsylvania Ave SE",,"Washington","DC","200034303","2024-04-22","35.25","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500506585","ORG","Chopsmith","11 District Sq SW",,"Washington","DC","200242490","2024-04-30","434","Meeting Meal Expenses",,
"SB17","C00547240","Moulton For Congress","500508616","ORG","Indigo DC","243 K St NE",,"Washington","DC","200023519","2024-05-01","46.01","Travel Meal",,
"SB29","C00725820","The Lincoln Project","500181107","ORG","The Smith Penn Quarter","90 F St NW",,"Washington","DC","20004","2024-06-28","1517.8","Meals",,"Non-Contribution Account"
"SB17","C00738872","Blake Moore For Congress","B75032FB6C12141D5B46","ORG","MEMBER LUNCH FUND","15 INDEPENDENCE AVE SE",,"WASHINGTON","DC","205156005","2024-01-11","1500","MEAL EXPENSES",,
"SB17","C00738872","Blake Moore For Congress","B450AE9148A0548CCBD1","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-01-16","275.5","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","BDFD8F2C80A8F495FB47","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-01-16","436.8","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","B2B6F8694B22041A09E5","ORG","WE THE PIZZA","305 PENNSYLVANIA AVE. SE",,"WASHINGTON","DC","200031148","2024-02-08","109.22","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","B2C3B9F73EFEF437B934","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-02-16","113.79","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","B04A09F2449BD4750889","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-02-16","165.4","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","B452AA48D6B624818B1D","ORG","THE RITZ CARLTON","1150 22ND STREET",,"WASHINGTON","DC","200371219","2024-02-20","10.46","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","BB8725DFA031C4B708D8","ORG","THE RITZ CARLTON","1150 22ND STREET",,"WASHINGTON","DC","200371219","2024-02-21","12.86","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","BCC011A8FFCA3426FB24","ORG","THE RITZ CARLTON","1150 22ND STREET",,"WASHINGTON","DC","200371219","2024-02-27","1168.37","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","B5B965CD220684226942","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-03-18","40.17","MEAL EXPENSE",,
"SB17","C00738872","Blake Moore For Congress","BC7FF07D12BD74A6082A","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","200031801","2024-03-18","84.46","MEAL EXPENSE",,
"SB17","C00502179","Mark Pocan For Congress","500492093","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2023-11-17","807.72","Food and Beverage",,
"SB21B","C00191288","Dc Republican Party Federal Account","SB21B.4215","ORG","BARRACKS ROW JOEYS","527 8TH ST SE",,"WASHINGTON","DC","20003","2024-06-10","421.08","FUNDRAISING EVENT FOOD AND DRINK",,
"SB21B","C00191288","Dc Republican Party Federal Account","SB21B.4204","ORG","THE CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-05-16","2166.48","EVENT FOOD AND DRINK",,
"SB29","C00725820","The Lincoln Project","500180080","ORG","The Smith Penn Quarter","90 F St NW",,"Washington","DC","20004","2024-06-03","440","Meals",,"Non-Contribution Account"
"SB17","C00558825","Miller Meeks For Congress","B2FCD29E9B9A94786903","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2024-05-16","1288.9","FOOD AND BEVERAGE",,
"SB17","C00359034","Graves For Congress","B02F838B8905E465D96E","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2023-10-20","859.65","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B8F265EDF37EA4C7294C","ORG","THE HAMILTON","1001 14TH ST NW",,"WASHINGTON","DC","20005","2023-10-20","665.64","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B372F3F3CA5174960A4A","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2023-10-21","407.05","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B44AC841C27A1410891C","ORG","HILL COUNTRY","410 7TH ST NW",,"WASHINGTON","DC","20004","2023-11-14","3671.18","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","BAD51BCBC14704D73994","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2023-12-08","754.1","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B3CAD684F64894F62AEE","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","200031801","2023-12-12","1085.07","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B4C1644A8A5E14A87AB2","ORG","WASHINGTON EVENTS",,,"WASHINGTON","DC",,"2023-12-12","1900","CATERING FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B27F5A1ED487F4A92B14","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-12-13","3583.48","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","BDA8596E6A5834944B8A","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2023-12-31","5755.52","EVENT FOOD & BEV",,
"SB17","C00359034","Graves For Congress","B6B2C590A902C43CAB4F","ORG","JOE'S SEAFOOD","750 15TH ST SW",,"WASHINGTON","DC","20005","2023-09-13","1870.12","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B9B9CA44A58A94FA8A45","ORG","JOE'S SEAFOOD","750 15TH ST SW",,"WASHINGTON","DC","20005","2023-09-19","6383.22","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B4520122815284F1CBC2","ORG","HILL COUNTRY","410 7TH ST NW",,"WASHINGTON","DC","20004","2023-10-12","2002.5","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","BF2A57D686D974992A89","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-10-23","504","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B29A34A8365B849ABAA4","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-10-24","1835.96","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B76EB9AFD1ACA43C1ACB","ORG","THE HAMILTON","1001 14TH ST NW",,"WASHINGTON","DC","20005","2024-02-07","710.56","MEALS","X",
"SB17","C00359034","Graves For Congress","BC7888883510641D79CA","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-02-21","9.58","EVENT FOOD/BEV AND MEMBERSHIP DUES",,
"SB17","C00359034","Graves For Congress","B9B8339BE118743378F1","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-02-27","58.23","EVENT FOOD/BEV AND MEMBERSHIP DUES",,
"SB17","C00359034","Graves For Congress","B0C6CF4B9021C48A1BE0","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-03-25","937.26","EVENT FOOD & BEV",,
"SB17","C00359034","Graves For Congress","B1EC4BFE9E1CD45D7839","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-11-29","221.73","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","BE242DAC5D9844FD8B58","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-11-29","5877.3","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B76BDBB232172443CB5E","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2023-11-29","4368","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B4162AF19D93A4739939","ORG","JOE'S STONE CRAB","750 15TH STREET NW",,"WASHINGTON","DC","200051018","2024-03-05","1878.73","EVENT MEALS","X",
"SB17","C00359034","Graves For Congress","B7741A4B735D249F0985","ORG","THE HAMILTON","1001 14TH ST NW",,"WASHINGTON","DC","20005","2024-05-23","495.2","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B821D9FFDEA5A438C958","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2024-05-08","4733.95","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B2909903EF8D3431CB1C","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2024-05-23","9887.28","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","BD05C2AD3A28B4EA5ACC","ORG","CAPITAL GRILLE","601 PENNSYLVANIA AVENUE NW",,"WASHINGTON","DC","200042601","2024-06-15","322.4","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B112B422F8FFC438CBED","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-04-30","59.1","EVENT FOOD & BEV",,
"SB17","C00359034","Graves For Congress","B1026AA9F17D84035B8F","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-06-03","557.72","EVENT FOOD & BEV",,
"SB17","C00359034","Graves For Congress","B2FC3710864C74956BA7","ORG","CAPITOL HILL CLUB","300 1ST STREET SE",,"WASHINGTON","DC","20003","2024-06-25","979.02","EVENT FOOD & BEV",,
"SB17","C00359034","Graves For Congress","B78670E5CE7DF493EA8F","ORG","BOBBY VAN'S GRILL","1201 NEW YORK AVENUE NW",,"WASHINGTON","DC","200056191","2024-03-20","7176.68","EVENT FOOD & BEV","X",
"SB17","C00359034","Graves For Congress","B2B537EA01E2B4F618E4","ORG","OCEAN PRIME","1341 G STREET NW",,"WASHINGTON","DC","200053105","2024-06-14","1121.93","EVENT FOOD & BEV","X",
"H4","C00105668","California Democratic Party","XH413339","ORG","Imperfecto","1124 23rd Street","NW","Washington","DC","20037","2024-07-31","217.3","meal","X",
"SB17","C00558825","Miller Meeks For Congress","B076C8C810A5645D0820","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2024-06-14","843.91","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","BFF329D2CD2F84389969","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2024-04-15","192.82","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","B4D08028456244BB4B53","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2023-11-17","91.2","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","BD64B756045C047F0873","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2024-01-12","645.5","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","BC2B6595622AC423A9DF","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2023-12-15","44.2","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","B29CF52A9FA1047ED849","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2023-07-17","126.43","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","B1D790FBF35504FC0927","ORG","THUNDER BAY GRILL","3056 M ST NW",,"WASHINGTON","DC","200073727","2023-09-18","1699.35","FOOD AND BEVERAGE",,
"SB17","C00446815","Mcclintock For Congress","XB543EB170664","ORG","CHIK FIL A","1401 MARYLAND AVE. NE",,"WASHINGTON","DC","20002","2024-06-13","382.07","FOOD FOR MEETING","X",
"SB17","C00558825","Miller Meeks For Congress","B542311B663BA4BBFBB0","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2023-10-17","32.5","FOOD AND BEVERAGE",,
"SB17","C00558825","Miller Meeks For Congress","B04C66E6C86664E7BA9E","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2023-06-16","26","FOOD AND BEVERAGE",,
"SB17","C00708289","Greene For Congress","DHY267UKDSHU23J75UQF","ORG","CAPITOL HILL CLUB","300 FIRST STREET SE",,"WASHINGTON","DC","20003","2024-05-15","361.32","MEAL","X",
"SB17","C00600718","Davidson For Congress","BDAAAC32C1A74401784B","ORG","THE CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","200031801","2024-04-16","1222.67","FOOD AND BEVERAGE",,
