expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments
7/1/22,Costco,10 Monocacy Blvd.  Frederick  Maryland 21701,Business/Group/Organization,47.69,Hough  Mike Friends of,Field Expenses,Event or Fair Booth Expenses,NA,Debit Card,NA,Electoral,NA
7/1/22,Walmart,2421 Monocacy Blvd.  Frederick  Maryland 21701,Business/Group/Organization,35.76,Hough  Mike Friends of,Field Expenses,Event or Fair Booth Expenses,NA,Debit Card,NA,Electoral,NA
6/9/22,Actblue,366 Summer St  Somerville  Massachusetts 02144,Business/Group/Organization,7.86,Hyman  Naomi Committee to Elect,Fund Raiser,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
7/3/22,RICHARD EUGENE  COOK,PO Box 215  Bryantown  Maryland 20617,Self (Candidate),500,Cook  Richard Committee,Media,Phones / Robo calls,NA,Credit Card/Visa,Kaplan Strategies,Electoral,NA
6/20/22,Anedot,1340 POYDRAS ST  SUITE 1770  NEW ORLEANS  Louisiana 70112,Business/Group/Organization,4.3,Detmer  Michael Friends of,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/23/22,Anedot,1340 POYDRAS ST  SUITE 1770  NEW ORLEANS  Louisiana 70112,Business/Group/Organization,20.3,Detmer  Michael Friends of,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
7/3/22,NA,NA,Reimburse,117.82,Detmer  Michael Friends of,Printing and Campaign Materials,Book/Brochure Advertising,NA,Check,The Copy Shoppe,Electoral,NA
7/3/22,NA,NA,Reimburse,55.12,Detmer  Michael Friends of,Printing and Campaign Materials,Book/Brochure Advertising,NA,Check,Son Graphics,Electoral,NA
7/3/22,NA,NA,Reimburse,10.59,Detmer  Michael Friends of,Media,Billboards / Outdoor Advertising,NA,Check,The Hardware Store,Electoral,Sign screws
6/27/22,PayPal,2211 North First St  San Jose  California 95131,Business/Group/Organization,23.2,Kittleman  Trent Friends of,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/30/22,PayPal,2211 North First St  San Jose  California 95131,Business/Group/Organization,38.83,Kittleman  Trent Friends of,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
7/1/22,PayPal,2211 North First St  San Jose  California 95131,Business/Group/Organization,21.21,Kittleman  Trent Friends of,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/24/22,Squarespace,8 Clarkson Street  New York  New York 10014,Business/Group/Organization,12.72,Hyman  Naomi Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA
6/25/22,Squarespace,8 Clarkson Street  New York  New York 10014,Business/Group/Organization,20.14,Hyman  Naomi Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA
7/1/22,Mailchimp,675 Ponce De Leon Ave NE  Atlanta  Maryland 30308,Business/Group/Organization,10.49,Hyman  Naomi Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA
6/23/22,Salisbury Independent,110 Galaxy Dr  Dover  Delaware 19901,Business/Group/Organization,947.5,Holloway  Joe for Wicomico County Council,Media,Newspaper,NA,Check,NA,Electoral,NA
6/9/22,ActBlue,366 Summer Street  Somerville  Massachusetts 02144,Business/Group/Organization,1.56,Stewart  Vaughn Friends of,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/27/22,Actblue,366 Summer St  Somerville  Massachusetts 02144,Business/Group/Organization,11.56,Hyman  Naomi Committee to Elect,Fund Raiser,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
6/28/22,Actblue,366 Summer St  Somerville  Massachusetts 02144,Business/Group/Organization,2.08,Hyman  Naomi Committee to Elect,Fund Raiser,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
6/29/22,Actblue,366 Summer St  Somerville  Massachusetts 02144,Business/Group/Organization,6.01,Hyman  Naomi Committee to Elect,Fund Raiser,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
6/13/22,Giant,5316 New Design Road  Frederick  Maryland 21703,Business/Group/Organization,4.23,Hough  Mike Friends of,Field Expenses,Event or Fair Booth Expenses,NA,Debit Card,NA,Electoral,NA
6/13/22,Roy Rogers,1990 Riverside Way  Frederick  Maryland 21702,Business/Group/Organization,32.09,Hough  Mike Friends of,Field Expenses,Volunteer Meals,NA,Debit Card,NA,Electoral,NA
6/25/22,Royal Farms,1078 Monocacy Blvd.  Frederick  Maryland 21701,Business/Group/Organization,86.15,Hough  Mike Friends of,Other Expenses,Other,NA,Debit Card,NA,Electoral,Gas for Campaign Vehicle
6/17/22,Sean Ford,7230 Darby Downs  Apt K  Elkridge  Maryland 21075,Individual,1907.27,Franchot Anderson-Walker for Maryland Slate,Salaries and Other compensation,Wages - Campaign Staff,NA,EFT,NA,Electoral,NA
6/11/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,161.38,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/13/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,143.59,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/15/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,1194.85,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/21/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,80.32,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/23/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,112.48,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/24/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,96.74,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/11/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,161.38,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/13/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,143.59,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/15/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,1194.85,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/21/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,80.32,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/23/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,112.48,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/24/22,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,96.74,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/10/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,150.88,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/12/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,152.89,Casa in Action PAC,Media,Online Advertising,SHANNON SNEED - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/14/22,DSPolitical,1250 H. St. NW  Ste. 200  Washington  District Of Columbia 20005,Business/Group/Organization,143.83,Casa in Action PAC,Media,Online Advertising,THOMAS PEREZ - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/1/22,GEORGE CLIFTON  PATCHELL,433 Aiken Ave  Perryville  Maryland 21903,Self (Candidate),1414.16,Patchell  George Committee to Elect,Candidate Loan Payment,NA,NA,Check,NA,Electoral,NA
6/1/22,GEORGE CLIFTON  PATCHELL,433 Aiken Ave  Perryville  Maryland 21903,Self (Candidate),0,Patchell  George Committee to Elect,Interest,NA,NA,Check,NA,Electoral,NA
6/1/22,GEORGE CLIFTON  PATCHELL,433 Aiken Ave  Perryville  Maryland 21903,Self (Candidate),0,Patchell  George Committee to Elect,Interest,NA,NA,NA,NA,Electoral,NA
6/21/22,Mid-Atlantic Media,11459 Cronhill Drive  Suite A  Owings Mills  Maryland 21117,Business/Group/Organization,855,Judges  Baltimore County Sitting  Slate,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA
6/13/22,Qi  Lily Friends of,9710 Traville Gateway  148  Rockville  Maryland 20850,Candidate Committee,1000,Leggett  Isiah Ike Friends Of,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/13/22,Ferguson  Bill Citizens for,27 S Ann Street  Baltimore  Maryland 21231,Candidate Committee,1000,Leggett  Isiah Ike Friends Of,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/27/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,27.7,Casa in Action PAC,Postage,Postage,DENI TAVERAS - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/27/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,2.77,Casa in Action PAC,Postage,Postage,JOHN OLSZEWSKI - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/27/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,55.4,Casa in Action PAC,Postage,Postage,ROBERT LEONARD - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/27/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,13.85,Casa in Action PAC,Postage,Postage,RUBEN AMAYA - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/27/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,13.85,Casa in Action PAC,Postage,Postage,JENNIFER WHITE - SUPPORT,Credit Card/Visa,NA,Electoral,NA
6/29/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,1194.28,Casa in Action PAC,Postage,Postage,THOMAS PEREZ - SUPPORT,Wire Transfer,NA,Electoral,NA
6/29/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,694.35,Casa in Action PAC,Postage,Postage,SHANNON SNEED - SUPPORT,Wire Transfer,NA,Electoral,NA
6/29/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,277.74,Casa in Action PAC,Postage,Postage,BROOKE LIERMAN - SUPPORT,Wire Transfer,NA,Electoral,NA
6/29/22,Print For Progress,1635 Market Street  Suite 1600  Philadelphia  Pennsylvania 19103,Business/Group/Organization,472.16,Casa in Action PAC,Postage,Postage,ANTHONY BROWN - SUPPORT,Wire Transfer,NA,Electoral,NA
6/13/22,Patricia Washington,6118 Montrose Rd  Cheverly  Maryland 20785,Individual,700,Ramirez  Victor Friends Of,Other Expenses,Other,NA,Check,NA,Electoral,Campaign Work
5/30/22,WesBanco,1 Bank Plaza  Wheeling  West Virginia 26003,Business/Group/Organization,15,1000 Maryland Women PAC,Other Expenses,Bank Charges,NA,EFT,NA,Administrative,NA
6/9/22,Targeted Creative Communications  Inc.,106 S Columbus Street  Alexandria  Virginia 22314-3036,Business/Group/Organization,4908.98,Marylanders United Slate,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,NA
6/10/22,The Shipping Store,23415 Three Notch Road  Suite 2008  California  Maryland 20619,Business/Group/Organization,41.1,Marylanders United Slate,Postage,Postage,NA,Check,NA,Electoral,NA
