Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Mike Pence,WRITE-IN,1,0,0,0,1,
Andrew Young,WRITE-IN,0,0,2,0,2,
Pete Buttigieg,WRITE-IN,0,0,0,1,1,
Ted Cruz,WRITE-IN,1,0,0,0,1,
Deborah Rouse,WRITE-IN,0,0,0,0,0,
Jade Simmons,WRITE-IN,0,0,1,0,1,
Jesse Ventura,WRITE-IN,1,0,1,0,2,
Michael J. Ellis,WRITE-IN,0,0,0,1,1,
Jim Sawyer,WRITE-IN,0,0,0,1,1,
Joey Berry,WRITE-IN,1,0,0,0,1,
Mary Ruth Caro Simmons,WRITE-IN,0,0,0,0,0,
Ronald Bryan Smith,WRITE-IN,0,0,0,0,0,
John Kasich,WRITE-IN,1,0,0,0,1,
Michael Bloomberg,WRITE-IN,0,0,1,0,1,
J. Kasiech (Ohio Gov),WRITE-IN,0,0,1,0,1,
"Brian T. Carroll V.P. AmalPatel",WRITE-IN,1,0,0,0,1,
Silvia Stagg,WRITE-IN,0,0,0,0,0,
Christopher Stried,WRITE-IN,0,0,0,0,0,
Brian Carroll V.P. Amar Patel,WRITE-IN,1,0,0,0,1,
Pat Toomey,WRITE-IN,0,0,1,0,1,
Sarah Palin,WRITE-IN,0,0,1,0,1,
Mike Mucy,WRITE-IN,1,0,0,0,1,
Sheila Samm Tittle,WRITE-IN,0,0,0,0,0,
Ann Yeager,WRITE-IN,0,0,0,0,0,
Berney Sanders,WRITE-IN,1,0,0,0,1,
Henry Rollins,WRITE-IN,1,0,0,0,1,
Dr. Oz,WRITE-IN,1,0,0,0,1,
Mark Charles,WRITE-IN,1,0,0,0,1,
Amy Klobuchar,WRITE-IN,1,0,0,0,1,
Anthony Fauci,WRITE-IN,1,0,0,0,1,
Pete Buttigeg,WRITE-IN,1,0,0,0,1,
Douglas Mastriano,WRITE-IN,1,0,0,0,1,
Colin Powell,WRITE-IN,1,0,0,0,1,
Caleb Yount,WRITE-IN,1,0,0,0,1,
Dwayne Johnson,WRITE-IN,1,0,0,0,1,
Jimmy Carter,WRITE-IN,2,0,0,0,2,
"",,Election Day,Absentee,Mail-In,Provisional,Total
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Josh Shapiro,DEM,"12,297","1,426","9,931",690,"24,344",
Heather Heidelbaugh,REP,"30,481","1,062","2,995",810,"35,348",
Daniel Wassmer,LIB,603,35,125,27,790,
Richard L. Weiss,GRN,275,19,110,11,415,
Write-in,,13,0,7,2,22,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Sharon R. Boucher,WRITE-IN,1,0,0,0,1,
William Mardis,WRITE-IN,1,0,0,0,1,
Krista Wilson,WRITE-IN,1,0,0,0,1,
Robert P. Horgos,WRITE-IN,0,0,2,0,2,
Sean Parnell,WRITE-IN,0,0,1,0,1,
Tim DeFoor,WRITE-IN,0,0,1,0,1,
Chelsea Ritenour,WRITE-IN,0,0,0,1,1,
Daniel Cuark,WRITE-IN,0,0,0,1,1,
W. Logan Dickerson,WRITE-IN,0,0,1,0,1,
Quenton H.,WRITE-IN,1,0,0,0,1,
Lewis Fulton,WRITE-IN,0,0,0,0,0,
Gabriel Nalepka,WRITE-IN,1,0,0,0,1,
Janell Moore,WRITE-IN,1,0,0,0,1,
Bud Phillips,WRITE-IN,1,0,0,0,1,
Nick Clark,WRITE-IN,1,0,0,0,1,
Leo P Rode,WRITE-IN,1,0,0,0,1,
Mark Foster,WRITE-IN,1,0,0,0,1,
Daniel Martucci,WRITE-IN,1,0,0,0,1,
Donald Trump,WRITE-IN,1,0,0,0,1,
Conner Martelli,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Nina Ahmad,DEM,"9,701","1,239","8,883",578,"20,401",
Timothy DeFoor,REP,"31,968","1,173","3,684",878,"37,703",
Jennifer Moore,LIB,"1,193",70,296,56,"1,615",
Olivia Faison,GRN,288,28,118,14,448,
Write-in,,16,1,5,1,23,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Sharon R. Boucher,WRITE-IN,1,0,0,0,1,
Krista Wilson,WRITE-IN,1,0,0,0,1,
Sean Parnell,WRITE-IN,1,0,0,0,1,
Eugene DePasquale,WRITE-IN,0,1,0,0,1,
Gary Van Kirk,WRITE-IN,0,0,1,0,1,
Michael Lamb,WRITE-IN,0,0,1,0,1,
Daniel Cuark,WRITE-IN,0,0,0,1,1,
John W. Courie,WRITE-IN,0,0,1,0,1,
Chuck Smith,WRITE-IN,1,0,0,0,1,
Quenton H.,WRITE-IN,1,0,0,0,1,
James M. Lukowsky,WRITE-IN,1,0,0,0,1,
Lewis Fulton,WRITE-IN,1,0,0,0,1,
Lewis Falton,WRITE-IN,2,0,1,0,3,
Ted Nugent,WRITE-IN,1,0,0,0,1,
Michael Magill,WRITE-IN,1,0,0,0,1,
Julian Solomon,WRITE-IN,1,0,0,0,1,
Matt Jaynes,WRITE-IN,1,0,0,0,1,
Leo P Rode,WRITE-IN,1,0,0,0,1,
Mark Foster,WRITE-IN,1,0,0,0,1,
Donald Trump,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Joe Torsella,DEM,"10,496","1,287","9,121",607,"21,511",
Stacy L. Garrity,REP,"31,540","1,154","3,527",870,"37,091",
Joe Soloski,LIB,812,46,201,29,"1,088",
Timothy Runkle,GRN,299,26,128,17,470,
Write-in,,16,0,7,1,24,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Sharon R. Boucher,WRITE-IN,1,0,0,0,1,
Joseph Marian Jr.,WRITE-IN,1,0,0,0,1,
Krista Wilson,WRITE-IN,1,0,0,0,1,
John Frick,WRITE-IN,0,0,1,0,1,
Daniel Cuark,WRITE-IN,0,0,0,1,1,
Justin Sullivan,WRITE-IN,0,0,1,0,1,
Eric Trump,WRITE-IN,0,0,1,0,1,
Brian Griffin,WRITE-IN,0,0,1,0,1,
Malaki Wipple,WRITE-IN,0,0,1,0,1,
Quenton H.,WRITE-IN,1,0,0,0,1,
Ryker Warburton,WRITE-IN,1,0,0,0,1,
Matt Cuccaro,WRITE-IN,1,0,0,0,1,
Mathew Cucaro,WRITE-IN,1,0,0,0,1,
Thomas Whipkey,WRITE-IN,1,0,0,0,1,
Claude Saynes,WRITE-IN,1,0,0,0,1,
Bernie Madoff,WRITE-IN,1,0,0,0,1,
Leo P Rode,WRITE-IN,1,0,0,0,1,
Arley Stoker Jr.,WRITE-IN,1,0,0,0,1,
Mark Fostr,WRITE-IN,1,0,0,0,1,
Donald Trump,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Bill Marx,DEM,"9,883","1,308","8,933",590,"20,714",
Guy Reschenthaler,REP,"33,405","1,252","4,118",947,"39,722",
Write-in,,34,10,8,1,53,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Sharon R. Boucher,WRITE-IN,1,0,0,0,1,
Pam Wilson,WRITE-IN,1,0,0,0,1,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Zachary Billy,WRITE-IN,1,0,0,0,1,
Adam Sedlock,WRITE-IN,1,0,0,0,1,
Tim Mahoney,WRITE-IN,0,1,0,0,1,
Anne Lewis,WRITE-IN,0,1,0,0,1,
William T. Pillar Jr.,WRITE-IN,0,0,1,0,1,
Daniel Cuark,WRITE-IN,0,0,0,1,1,
Kevin Haines,WRITE-IN,0,1,0,0,1,
Mike Johnson,WRITE-IN,0,1,0,0,1,
Michael Keister,WRITE-IN,0,1,0,0,1,
Donald Bowman,WRITE-IN,0,1,0,0,1,
Jade Simmons,WRITE-IN,0,0,0,0,0,
Guy Rose,WRITE-IN,0,0,1,0,1,
John Joyce,WRITE-IN,1,0,0,0,1,
Scattered,WRITE-IN,1,0,0,0,1,
Quenton H.,WRITE-IN,1,0,0,0,1,
Glenn Thompson,WRITE-IN,2,0,0,0,2,
Timothy Witt,WRITE-IN,1,0,0,0,1,
Bruce Jaynes,WRITE-IN,1,0,0,0,1,
Jo Jorgenson,WRITE-IN,1,0,0,0,1,
John McGough,WRITE-IN,1,0,0,0,1,
Sean Parnell,WRITE-IN,1,0,2,0,3,
Matthew Dowling,WRITE-IN,2,0,1,0,3,
Conor Lamb,WRITE-IN,1,1,0,0,2,
Krista McDaniel,WRITE-IN,1,0,0,0,1,
Jo Jorgansen,WRITE-IN,1,0,0,0,1,
Jim Marshall,WRITE-IN,1,0,0,0,1,
Brian Fell,WRITE-IN,1,0,0,0,1,
Charles E. Thomas IV,WRITE-IN,1,0,0,0,1,
Tucker Carlson,WRITE-IN,1,0,0,0,1,
Santino Guzzo,WRITE-IN,1,0,0,0,1,
Shane Gannon,WRITE-IN,1,0,0,0,1,
Jakob Piwowor,WRITE-IN,1,0,0,0,1,
Mark Madden,WRITE-IN,1,0,0,0,1,
Amy Klobuchar,WRITE-IN,0,0,0,0,0,
Leo P Rode,WRITE-IN,1,0,0,0,1,
Mark Fostr,WRITE-IN,1,0,0,0,1,
Donald Trump,WRITE-IN,1,0,0,0,1,
Jimmy Stewart,WRITE-IN,1,0,0,0,1,
Chad Stanton,WRITE-IN,1,0,0,0,1,
Pam Snyder,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Randy J. Barli,DEM,748,103,718,31,"1,600",
Bud Cook,REP,"3,024",106,388,82,"3,600",
Write-in,,8,1,0,0,9,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
William Stewart,WRITE-IN,1,0,0,0,1,
Devin Luker,WRITE-IN,1,0,0,0,1,
Lloyd Mardas,WRITE-IN,1,0,0,0,1,
Lyodd Mardis,WRITE-IN,1,0,0,0,1,
Logan Schrock,WRITE-IN,1,0,0,0,1,
"Frank M. Spoto, Jr.",WRITE-IN,1,0,0,0,1,
James Miller,WRITE-IN,0,1,0,0,1,
William J Clinton,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Pam Snyder,DEM,"2,675",199,"1,232",157,"4,263",
Larry Yost,REP,"2,242",66,214,86,"2,608",
Write-in,,3,2,1,0,6,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
William DeWeese,WRITE-IN,0,1,0,0,1,
Joe Volanksy,WRITE-IN,0,0,1,0,1,
Matt Dowling,WRITE-IN,1,0,0,0,1,
Bill DeWeese,WRITE-IN,1,0,0,0,1,
Leo P Rode,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Kevin Jones,DEM,"3,916",493,"3,324",213,"7,946",
Matthew Dowling,REP,"12,216",563,"1,867",325,"14,971",
Write-in,,24,4,9,4,41,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Gary Gearing,WRITE-IN,1,0,1,0,2,
John Schoener,WRITE-IN,1,0,0,0,1,
Justin Wilson,WRITE-IN,1,0,0,0,1,
Tim Knapp,WRITE-IN,1,0,0,0,1,
David Rosko,WRITE-IN,1,0,0,0,1,
Rich Bower,WRITE-IN,0,1,0,0,1,
Vincent Vicites,WRITE-IN,0,1,0,0,1,
Larry Yost,WRITE-IN,0,0,1,0,1,
Vincent A. Vicites,WRITE-IN,0,0,1,0,1,
Theresa Abbott,WRITE-IN,0,0,1,0,1,
Patricia Grimm,WRITE-IN,0,0,1,0,1,
Ryan Warner,WRITE-IN,0,0,0,2,2,
Daniel Cuark,WRITE-IN,0,0,0,1,1,
Christopher M. Le Beau,WRITE-IN,0,1,0,0,1,
Traci Leigh Wilson-Seese,WRITE-IN,1,0,0,0,1,
Larry Roberts,WRITE-IN,1,0,0,0,1,
Allison Kuklar,WRITE-IN,1,0,0,0,1,
Pam Snyder,WRITE-IN,3,0,0,0,3,
Mark Fostr,WRITE-IN,1,0,0,0,1,
Rick Vernon,WRITE-IN,1,0,0,0,1,
Chuck Norris,WRITE-IN,1,0,0,0,1,
Donald Trump,WRITE-IN,1,0,0,0,1,
Kenneth J. Riddell,WRITE-IN,1,0,0,0,1,
Tim Mahoney,WRITE-IN,2,1,1,0,4,
Russ Rhodes,WRITE-IN,1,0,0,0,1,
Timothy Mahoney,WRITE-IN,2,0,0,0,2,
Eric Johnson,WRITE-IN,1,0,0,0,1,
Kim Ward,WRITE-IN,1,0,0,0,1,
Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
Harry Young Cochran,DEM,"3,615",454,"3,390",205,"7,664",
Ryan Warner,REP,"15,454",521,"1,910",438,"18,323",
Write-in,,19,1,9,1,30,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Anne Lewis,WRITE-IN,0,1,0,0,1,
Ethan Keedy,WRITE-IN,0,0,1,0,1,
Kevin D. Jones,WRITE-IN,0,0,1,0,1,
Wayne Johnson,WRITE-IN,0,0,1,0,1,
Quenton H.,WRITE-IN,1,0,0,0,1,
Doug Mastriano,WRITE-IN,1,0,0,0,1,
Doctor Paul Means,WRITE-IN,1,0,0,0,1,
Karl Butchko,WRITE-IN,1,0,0,0,1,
Jo Jorgenson,WRITE-IN,1,0,0,0,1,
Marigrace Butela,WRITE-IN,1,0,0,0,1,
Raymond D. Wormack,WRITE-IN,1,0,0,0,1,
Brawn Dodd,WRITE-IN,1,0,0,1,2,
Richard Bower,WRITE-IN,1,0,0,0,1,
Matthew Jones,WRITE-IN,1,0,0,0,1,
Matthew Dowling,WRITE-IN,1,0,1,0,2,
Greg Kunkle,WRITE-IN,1,0,0,0,1,
Jakob Piwowar,WRITE-IN,1,0,0,0,1,
Matthew Rhoades,WRITE-IN,1,0,0,0,1,
Andrew Jordan (Andy) Mattis,WRITE-IN,1,0,0,0,1,
Karen L. Gibbs,WRITE-IN,1,0,0,0,1,
Andrew J. Mattis,WRITE-IN,2,0,0,0,2,
