COUNTY NAME,DATE,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
BALTIMORE COUNTY,2024-10-14,71174,20772,17785,109731,25465,7518,4842,37825
CALVERT,2024-10-14,6040,3680,2415,12135,2440,1414,797,4651
CAROLINE,2024-10-14,943,764,404,2111,420,317,147,884
CARROLL,2024-10-14,9204,7202,3998,20404,3731,2829,1331,7891
CECIL,2024-10-14,3857,3653,1753,9263,1348,1157,522,3027
CHARLES,2024-10-14,12411,2814,2785,18010,4456,1119,793,6368
DORCHESTER,2024-10-14,1664,845,412,2921,682,345,132,1159
FREDERICK,2024-10-14,20569,7959,7377,35905,6641,2496,2054,11191
GARRETT,2024-10-14,918,1217,343,2478,433,515,122,1070
HARFORD,2024-10-14,13134,8402,5458,26994,5468,3471,1849,10788
HOWARD,2024-10-14,30581,7248,10395,48224,11728,2673,3274,17675
KENT,2024-10-14,1386,571,348,2305,661,269,129,1059
MONTGOMERY,2024-10-14,112466,17653,30893,161012,35420,5767,8150,49337
PRINCE GEORGE'S,2024-10-14,78707,5291,11794,95792,29038,1868,2892,33798
QUEEN ANNE'S,2024-10-14,2636,2007,1111,5754,1051,853,417,2321
SAINT MARY'S,2024-10-14,5205,3380,2147,10732,2127,1266,717,4110
SOMERSET,2024-10-14,761,529,231,1521,359,207,85,651
TALBOT,2024-10-14,2820,1469,1073,5362,1343,650,411,2404
WASHINGTON,2024-10-14,6953,4748,2769,14470,2890,2014,925,5829
WICOMICO,2024-10-14,4531,2412,1489,8432,2097,1134,527,3758
WORCESTER,2024-10-14,3256,2454,1274,6984,1651,1172,508,3331
ALLEGANY,2024-10-15,2438,2252,823,5513,1162,1145,350,2657
ANNE ARUNDEL,2024-10-15,45109,18506,17937,81552,18697,7604,6104,32405
BALTIMORE CITY,2024-10-15,53743,3514,7104,64361,15001,894,1269,17164
BALTIMORE COUNTY,2024-10-15,71159,20770,17779,109708,25702,7565,4908,38175
CALVERT,2024-10-15,6040,3680,2415,12135,2440,1414,797,4651
CAROLINE,2024-10-15,943,764,404,2111,420,317,147,884
CARROLL,2024-10-15,9202,7199,3998,20399,3731,2829,1331,7891
CECIL,2024-10-15,3855,3651,1752,9258,1348,1157,522,3027
CHARLES,2024-10-15,12411,2814,2785,18010,4456,1119,793,6368
DORCHESTER,2024-10-15,1664,845,412,2921,779,381,153,1313
FREDERICK,2024-10-15,20568,7959,7377,35904,6641,2496,2054,11191
GARRETT,2024-10-15,918,1217,343,2478,433,515,122,1070
HARFORD,2024-10-15,13134,8402,5458,26994,5468,3471,1849,10788
HOWARD,2024-10-15,30570,7243,10388,48201,11977,2703,3346,18026
KENT,2024-10-15,1386,571,348,2305,714,294,136,1144
MONTGOMERY,2024-10-15,112444,17653,30878,160975,35804,5852,8247,49903
PRINCE GEORGE'S,2024-10-15,78705,5291,11794,95790,29038,1868,2892,33798
QUEEN ANNE'S,2024-10-15,2636,2007,1111,5754,1051,853,417,2321
SAINT MARY'S,2024-10-15,5203,3379,2147,10729,2127,1266,717,4110
SOMERSET,2024-10-15,761,529,231,1521,359,207,85,651
TALBOT,2024-10-15,2820,1469,1073,5362,1343,650,411,2404
WASHINGTON,2024-10-15,6953,4747,2768,14468,2890,2014,925,5829
WICOMICO,2024-10-15,4531,2412,1489,8432,2124,1143,531,3798
WORCESTER,2024-10-15,3256,2454,1273,6983,1651,1172,508,3331
ALLEGANY,2024-10-16,2504,2351,878,5733,1175,1155,354,2684
ANNE ARUNDEL,2024-10-16,46311,19086,18647,84044,19529,7869,6394,33792
BALTIMORE CITY,2024-10-16,54854,3629,7387,65870,15695,925,1335,17955
BALTIMORE COUNTY,2024-10-16,72894,21336,18562,112792,25854,7605,4941,38400
CALVERT,2024-10-16,6187,3810,2511,12508,2440,1414,797,4651
CAROLINE,2024-10-16,957,787,413,2157,425,327,151,903
CARROLL,2024-10-16,9469,7545,4230,21244,3856,2891,1376,8123
CECIL,2024-10-16,3948,3791,1848,9587,1403,1183,542,3128
CHARLES,2024-10-16,12781,2903,2904,18588,4786,1198,868,6852
DORCHESTER,2024-10-16,1689,862,422,2973,779,381,153,1313
FREDERICK,2024-10-16,21069,8199,7675,36943,7570,2887,2336,12793
GARRETT,2024-10-16,930,1240,353,2523,433,515,122,1070
HARFORD,2024-10-16,13493,8704,5693,27890,5468,3471,1849,10788
HOWARD,2024-10-16,31550,7535,10947,50032,12265,2773,3422,18460
KENT,2024-10-16,1420,599,370,2389,714,294,136,1144
MONTGOMERY,2024-10-16,115183,18213,32236,165632,36047,5880,8303,50230
PRINCE GEORGE'S,2024-10-16,81015,5484,12319,98818,29038,1868,2892,33798
QUEEN ANNE'S,2024-10-16,2672,2043,1140,5855,1051,853,417,2321
SAINT MARY'S,2024-10-16,5362,3525,2264,11151,2271,1350,754,4375
SOMERSET,2024-10-16,774,538,238,1550,364,214,92,670
TALBOT,2024-10-16,2863,1505,1093,5461,1343,650,411,2404
WASHINGTON,2024-10-16,7070,4853,2855,14778,3058,2115,983,6156
WICOMICO,2024-10-16,4618,2474,1544,8636,2124,1143,531,3798
WORCESTER,2024-10-16,3311,2521,1303,7135,1651,1172,508,3331
ALLEGANY,2024-10-17,2504,2352,877,5733,1199,1178,364,2741
ANNE ARUNDEL,2024-10-17,46322,19096,18664,84082,20209,8172,6622,35003
BALTIMORE CITY,2024-10-17,54928,3638,7403,65969,15774,932,1351,18057
BALTIMORE COUNTY,2024-10-17,72905,21329,18561,112795,25915,7628,4957,38500
CALVERT,2024-10-17,6187,3808,2511,12506,2668,1512,851,5031
CAROLINE,2024-10-17,958,788,413,2159,447,357,164,968
CARROLL,2024-10-17,9464,7547,4230,21241,3919,2950,1404,8273
CECIL,2024-10-17,3954,3792,1851,9597,1674,1442,636,3752
CHARLES,2024-10-17,12806,2907,2915,18628,4804,1201,871,6876
DORCHESTER,2024-10-17,1689,862,422,2973,779,381,153,1313
FREDERICK,2024-10-17,21080,8209,7691,36980,7660,2917,2377,12954
GARRETT,2024-10-17,932,1239,353,2524,502,612,145,1259
HARFORD,2024-10-17,13487,8708,5689,27884,5468,3470,1850,10788
HOWARD,2024-10-17,31547,7533,10948,50028,12341,2793,3435,18569
KENT,2024-10-17,1421,600,369,2390,806,313,152,1271
MONTGOMERY,2024-10-17,115321,18243,32320,165884,36932,5990,8487,51409
PRINCE GEORGE'S,2024-10-17,81021,5482,12315,98818,32839,2089,3346,38274
QUEEN ANNE'S,2024-10-17,2671,2047,1137,5855,1195,932,470,2597
SAINT MARY'S,2024-10-17,5366,3534,2266,11166,2482,1472,834,4788
SOMERSET,2024-10-17,774,537,238,1549,424,244,100,768
TALBOT,2024-10-17,2856,1504,1092,5452,1390,664,425,2479
WASHINGTON,2024-10-17,7075,4864,2861,14800,3108,2162,1001,6271
WICOMICO,2024-10-17,4621,2480,1546,8647,2338,1238,601,4177
WORCESTER,2024-10-17,3308,2521,1302,7131,1724,1224,525,3473
ALLEGANY,2024-10-18,2523,2370,885,5778,1316,1295,395,3006
ANNE ARUNDEL,2024-10-18,46805,19335,18967,85107,21493,8608,7072,37173
BALTIMORE CITY,2024-10-18,55429,3705,7554,66688,18259,1047,1580,20886
BALTIMORE COUNTY,2024-10-18,73650,21569,18888,114107,27282,7939,5179,40400
CALVERT,2024-10-18,6237,3843,2537,12617,2941,1674,946,5561
CAROLINE,2024-10-18,974,799,423,2196,483,379,182,1044
CARROLL,2024-10-18,9549,7644,4300,21493,4028,3035,1441,8504
CECIL,2024-10-18,3995,3830,1880,9705,1722,1496,657,3875
CHARLES,2024-10-18,13013,2943,2986,18942,5397,1322,986,7705
DORCHESTER,2024-10-18,1717,875,430,3022,802,386,154,1342
FREDERICK,2024-10-18,21315,8328,7844,37487,8950,3309,2721,14980
GARRETT,2024-10-18,945,1259,358,2562,521,626,148,1295
HARFORD,2024-10-18,13638,8828,5791,28257,6373,4096,2170,12639
HOWARD,2024-10-18,31830,7622,11094,50546,13421,3031,3732,20184
KENT,2024-10-18,1431,610,375,2416,836,321,161,1318
MONTGOMERY,2024-10-18,116910,18582,33032,168524,37033,6004,8502,51539
PRINCE GEORGE'S,2024-10-18,81711,5544,12455,99710,34530,2147,3509,40186
QUEEN ANNE'S,2024-10-18,2713,2092,1158,5963,1276,992,494,2762
SAINT MARY'S,2024-10-18,5421,3586,2307,11314,2556,1528,855,4939
SOMERSET,2024-10-18,785,549,246,1580,424,244,100,768
TALBOT,2024-10-18,2911,1536,1124,5571,1543,739,472,2754
WASHINGTON,2024-10-18,7190,4916,2923,15029,3365,2369,1133,6867
WICOMICO,2024-10-18,4647,2498,1554,8699,2399,1275,629,4303
WORCESTER,2024-10-18,3332,2552,1333,7217,1866,1337,572,3775
ALLEGANY,2024-10-19,2524,2379,888,5791,1395,1381,423,3199
ANNE ARUNDEL,2024-10-19,46962,19434,19065,85461,22649,9057,7484,39190
BALTIMORE CITY,2024-10-19,55508,3712,7558,66778,20026,1135,1731,22892
BALTIMORE COUNTY,2024-10-19,73700,21598,18925,114223,29556,8544,5600,43700
CALVERT,2024-10-19,6239,3844,2540,12623,3154,1783,1015,5952
CAROLINE,2024-10-19,977,802,426,2205,514,408,194,1116
CARROLL,2024-10-19,9585,7676,4328,21589,4689,3618,1692,9999
CECIL,2024-10-19,4002,3842,1886,9730,1852,1622,726,4200
CHARLES,2024-10-19,13067,2964,3008,19039,5848,1426,1056,8330
DORCHESTER,2024-10-19,1725,883,431,3039,910,444,168,1522
FREDERICK,2024-10-19,21326,8336,7858,37520,8956,3320,2726,15002
GARRETT,2024-10-19,947,1261,362,2570,532,649,154,1335
HARFORD,2024-10-19,13673,8865,5816,28354,6883,4438,2358,13679
HOWARD,2024-10-19,31902,7655,11145,50702,14372,3267,4054,21693
KENT,2024-10-19,1432,620,376,2428,888,339,174,1401
MONTGOMERY,2024-10-19,117148,18647,33156,168951,44873,7110,10295,62278
PRINCE GEORGE'S,2024-10-19,81925,5565,12509,99999,37143,2319,3832,43294
QUEEN ANNE'S,2024-10-19,2722,2099,1162,5983,1354,1073,524,2951
SAINT MARY'S,2024-10-19,5424,3594,2311,11329,2728,1626,908,5262
SOMERSET,2024-10-19,785,549,247,1581,467,264,107,838
TALBOT,2024-10-19,2919,1540,1128,5587,1579,758,487,2824
WASHINGTON,2024-10-19,7192,4920,2927,15039,3616,2510,1210,7336
WICOMICO,2024-10-19,4673,2517,1566,8756,2588,1386,682,4656
WORCESTER,2024-10-19,3336,2563,1342,7241,2020,1454,645,4119
ALLEGANY,2024-10-20,2520,2377,891,5788,1469,1444,441,3354
ANNE ARUNDEL,2024-10-20,47016,19464,19089,85569,23399,9352,7745,40496
BALTIMORE CITY,2024-10-20,55549,3723,7627,66899,21200,1205,1838,24243
BALTIMORE COUNTY,2024-10-20,73695,21600,18927,114222,32375,9427,6198,48000
CALVERT,2024-10-20,6263,3861,2552,12676,3297,1875,1072,6244
CAROLINE,2024-10-20,980,806,426,2212,542,436,209,1187
CARROLL,2024-10-20,9590,7689,4330,21609,4892,3773,1768,10433
CECIL,2024-10-20,4006,3848,1888,9742,2007,1783,785,4575
CHARLES,2024-10-20,13080,2969,3015,19064,6242,1517,1142,8901
DORCHESTER,2024-10-20,1725,884,430,3039,1002,506,192,1700
FREDERICK,2024-10-20,21331,8348,7875,37554,9634,3606,2969,16209
GARRETT,2024-10-20,951,1269,362,2582,561,690,166,1417
HARFORD,2024-10-20,13688,8882,5831,28401,6922,4472,2375,13769
HOWARD,2024-10-20,31944,7668,11168,50780,14985,3429,4278,22692
KENT,2024-10-20,1434,623,378,2435,917,348,181,1446
MONTGOMERY,2024-10-20,117272,18680,33208,169160,46643,7363,10745,64751
PRINCE GEORGE'S,2024-10-20,82129,5588,12552,100269,39234,2485,4139,45858
QUEEN ANNE'S,2024-10-20,2724,2105,1164,5993,1446,1119,558,3123
SAINT MARY'S,2024-10-20,5431,3607,2316,11354,2885,1734,970,5589
SOMERSET,2024-10-20,782,549,247,1578,485,281,110,876
TALBOT,2024-10-20,2921,1539,1127,5587,1702,814,533,3049
WASHINGTON,2024-10-20,7198,4918,2935,15051,3802,2682,1289,7773
WICOMICO,2024-10-20,4687,2525,1573,8785,2708,1457,718,4883
WORCESTER,2024-10-20,3349,2567,1346,7262,2048,1465,658,4171
ALLEGANY,2024-10-21,2520,2377,891,5788,1469,1444,441,3354
ANNE ARUNDEL,2024-10-21,47004,19453,19081,85538,23400,9353,7745,40498
BALTIMORE CITY,2024-10-21,55549,3723,7626,66898,21200,1205,1838,24243
BALTIMORE COUNTY,2024-10-21,73682,21595,18917,114194,32912,9649,6339,48900
CALVERT,2024-10-21,6263,3861,2552,12676,3297,1875,1072,6244
CAROLINE,2024-10-21,980,806,426,2212,542,436,209,1187
CARROLL,2024-10-21,9584,7685,4329,21598,4892,3773,1768,10433
CECIL,2024-10-21,4006,3848,1888,9742,2007,1783,785,4575
CHARLES,2024-10-21,13076,2968,3012,19056,6242,1517,1142,8901
DORCHESTER,2024-10-21,1725,884,430,3039,1002,506,192,1700
FREDERICK,2024-10-21,21327,8348,7873,37548,10247,3896,3186,17329
GARRETT,2024-10-21,951,1269,362,2582,561,690,166,1417
HARFORD,2024-10-21,13675,8862,5830,28367,6922,4472,2375,13769
HOWARD,2024-10-21,31944,7668,11168,50780,15129,3457,4308,22894
KENT,2024-10-21,1434,623,378,2435,917,348,181,1446
MONTGOMERY,2024-10-21,117238,18670,33194,169102,46695,7367,10757,64819
PRINCE GEORGE'S,2024-10-21,82115,5587,12548,100250,39243,2486,4139,45868
QUEEN ANNE'S,2024-10-21,2724,2105,1164,5993,1446,1119,558,3123
SAINT MARY'S,2024-10-21,5430,3607,2316,11353,2885,1734,970,5589
SOMERSET,2024-10-21,782,549,247,1578,485,281,110,876
TALBOT,2024-10-21,2921,1539,1127,5587,1702,814,533,3049
WASHINGTON,2024-10-21,7197,4916,2935,15048,3909,2744,1320,7973
WICOMICO,2024-10-21,4687,2525,1573,8785,2749,1479,738,4966
WORCESTER,2024-10-21,3349,2567,1346,7262,2048,1465,658,4171
ALLEGANY,2024-10-22,2518,2377,891,5786,1513,1470,446,3429
ANNE ARUNDEL,2024-10-22,47005,19453,19083,85541,24942,10022,8333,43297
BALTIMORE CITY,2024-10-22,55549,3723,7626,66898,21200,1205,1838,24243
BALTIMORE COUNTY,2024-10-22,73682,21595,18917,114194,33113,9701,6386,49200
CALVERT,2024-10-22,6263,3861,2552,12676,3297,1875,1072,6244
CAROLINE,2024-10-22,980,806,426,2212,542,436,209,1187
CARROLL,2024-10-22,9584,7685,4328,21597,4892,3773,1768,10433
CECIL,2024-10-22,4003,3848,1885,9736,2007,1783,785,4575
CHARLES,2024-10-22,13076,2968,3012,19056,6242,1517,1142,8901
DORCHESTER,2024-10-22,1725,884,430,3039,1002,506,192,1700
FREDERICK,2024-10-22,21327,8348,7873,37548,10247,3896,3186,17329
GARRETT,2024-10-22,951,1269,362,2582,561,690,166,1417
HARFORD,2024-10-22,13675,8862,5830,28367,6922,4472,2375,13769
HOWARD,2024-10-22,31941,7667,11165,50773,15468,3559,4450,23477
KENT,2024-10-22,1434,623,378,2435,917,348,181,1446
MONTGOMERY,2024-10-22,117251,18670,33201,169122,48407,7664,11251,67322
PRINCE GEORGE'S,2024-10-22,82113,5587,12548,100248,39389,2499,4162,46050
QUEEN ANNE'S,2024-10-22,2724,2105,1164,5993,1446,1119,558,3123
SAINT MARY'S,2024-10-22,5430,3607,2316,11353,2885,1734,970,5589
SOMERSET,2024-10-22,782,549,247,1578,485,281,110,876
TALBOT,2024-10-22,2921,1539,1127,5587,1702,814,533,3049
WASHINGTON,2024-10-22,7197,4916,2935,15048,3909,2744,1320,7973
WICOMICO,2024-10-22,4687,2524,1573,8784,2749,1479,738,4966
WORCESTER,2024-10-22,3349,2567,1346,7262,2048,1465,658,4171
ALLEGANY,2024-10-23,2568,2444,916,5928,1567,1538,476,3581
ANNE ARUNDEL,2024-10-23,48041,19957,19741,87739,26280,10598,8868,45746
BALTIMORE CITY,2024-10-23,57118,3860,8013,68991,23120,1336,2054,26510
BALTIMORE COUNTY,2024-10-23,74756,21964,19367,116087,37252,10802,7334,55388
CALVERT,2024-10-23,6411,3966,2649,13026,3623,2084,1192,6899
CAROLINE,2024-10-23,997,820,441,2258,594,472,223,1289
CARROLL,2024-10-23,9709,7815,4435,21959,5376,4144,1966,11486
CECIL,2024-10-23,4128,3943,1962,10033,2230,2001,894,5125
CHARLES,2024-10-23,13512,3064,3137,19713,6851,1655,1277,9783
DORCHESTER,2024-10-23,1758,913,443,3114,1022,520,197,1739
FREDERICK,2024-10-23,21688,8534,8087,38309,10794,4074,3360,18228
GARRETT,2024-10-23,960,1287,369,2616,596,732,181,1509
HARFORD,2024-10-23,13909,9089,6002,29000,7787,5033,2717,15537
HOWARD,2024-10-23,32547,7846,11558,51951,16567,3815,4798,25180
KENT,2024-10-23,1445,627,389,2461,956,358,193,1507
MONTGOMERY,2024-10-23,119785,19214,34468,173467,50938,7924,11808,70670
PRINCE GEORGE'S,2024-10-23,85101,5816,13299,104216,41375,2597,4442,48414
QUEEN ANNE'S,2024-10-23,2758,2147,1196,6101,1592,1224,621,3437
SAINT MARY'S,2024-10-23,5561,3706,2410,11677,3120,1917,1090,6127
SOMERSET,2024-10-23,796,567,252,1615,505,301,120,926
TALBOT,2024-10-23,2965,1564,1148,5677,1914,927,603,3444
WASHINGTON,2024-10-23,7340,5056,3021,15417,4181,2911,1435,8527
WICOMICO,2024-10-23,4829,2615,1651,9095,2899,1578,789,5266
WORCESTER,2024-10-23,3408,2624,1392,7424,2252,1651,744,4647
