linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle,candidate
SB17,C00840017,500673456,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-12,40000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662908,ORG,Magnus Pearson Media,NA,NA,NA,NA,NA,311 Wolfe St,NA,Alexandria,VA,223143725,NA,2024-05-21,36903.83,Media Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500661938,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-15,35016,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500662906,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-22,25000,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500673502,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,2024-05-30,23879.36,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500662930,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,2024-05-21,21720,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662901,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-21,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500661935,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-15,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673454,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-05,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500663110,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-24,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500661936,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-15,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673455,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-07,20000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500658579,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,2024-05-03,18890.03,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500661931,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-05-15,17589.09,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500662920,ORG,Movement Labs LLC,NA,NA,NA,NA,NA,2045 W Grand Ave,Ste # B,Chicago,IL,606121577,NA,2024-05-21,17452.2,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500656488,ORG,Magnus Pearson Media,NA,NA,NA,NA,NA,311 Wolfe St,NA,Alexandria,VA,223143725,NA,2024-04-29,17000,Media Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500673506,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,2024-06-27,16666.24,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500661942,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,2024-05-13,16261.19,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500656451,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,2024-04-29,16261.15,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500662921,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,2024-05-21,16257.61,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500673503,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,2024-06-13,15524.95,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500673459,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-07,15000,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662927,ORG,"Blue Wave Political Partners, LLC",NA,NA,NA,NA,NA,122 C St NW,Ste 360,Washington,DC,200012149,NA,2024-05-21,15000,Compliance Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673493,PAC,EMILYS LIST,NA,NA,NA,NA,NA,1800 M St NW,Ste 375N,Washington,DC,200365862,NA,2024-06-26,14604.75,Direct Mail Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500673445,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-06-30,13570.84,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661939,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-15,13400,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662936,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,2024-05-21,12500,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662935,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,2024-05-21,12500,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500659785,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,2024-05-06,12500,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500656455,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,2024-04-29,12500,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673705,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,2024-05-30,12302.75,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656453,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,2024-04-26,12150,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673462,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-07,12000,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662932,ORG,NAI The Michael Companies Inc,NA,NA,NA,NA,NA,10100 Business Pkwy,NA,Lanham,MD,207061802,NA,2024-05-21,10000,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500658550,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-04-30,10000,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500658555,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,2024-04-29,10000,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662905,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-21,10000,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500656448,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-04-26,10000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673444,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-06-23,9313.08,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500663107,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-05-26,9161.66,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661933,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-05-19,9015.09,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500656454,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,2024-04-26,8560,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673567,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,2024-05-30,8560,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500661944,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,2024-05-18,8422.62,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673443,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-06-16,8269.82,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500673536,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,2024-06-02,8000,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673537,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,2024-06-02,8000,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500656452,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,2024-04-29,8000,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500661934,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-14,8000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500658565,ORG,Campaign Finance Consultants Inc,NA,NA,NA,NA,NA,750 1St St NE,Ste 1070,Washington,DC,200028008,NA,2024-05-02,7776.89,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500656447,ORG,"Blue Wave Political Partners, LLC",NA,NA,NA,NA,NA,122 C St NW,Ste 360,Washington,DC,200012149,NA,2024-04-29,7500,Compliance Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662940,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,2024-05-21,7200,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500658576,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,2024-05-04,7200,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500673442,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-06-09,7022.79,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500673441,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-06-02,6999.87,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661930,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,2024-05-14,6529.34,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500662922,ORG,Martins Catering,NA,NA,NA,NA,NA,7400 Greenway Center Dr,NA,Greenbelt,MD,207703503,NA,2024-05-21,6454,Catering,NA,NA,2024,Alsobrooks
SB17,C00840017,500673610,IND,NA,Lounsbury,Connor,NA,NA,NA,255 I St NE,# 413,Washington,DC,200024411,NA,2024-05-30,6000,Communication Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673463,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-27,6000,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662929,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,2024-05-21,5844.11,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500658566,ORG,CareFirst Health Insurance,NA,NA,NA,NA,NA,840 1St St NE,NA,Washington,DC,200650003,NA,2024-05-02,5836.88,Health Insurance,NA,NA,2024,Alsobrooks
SB17,C00840017,500673467,ORG,CareFirst Health Insurance,NA,NA,NA,NA,NA,840 1St St NE,NA,Washington,DC,200650003,NA,2024-06-03,5836.88,Health Insurance,NA,NA,2024,Alsobrooks
SB17,C00840017,500658553,ORG,Paxton Education Consulting,NA,NA,NA,NA,NA,336 E 22Nd St,NA,Baltimore,MD,212185830,NA,2024-04-30,5500,Strategy Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500659771,ORG,Color Pro Graphics,NA,NA,NA,NA,NA,1441 Mccormick Dr,Ste 1000,Upper Marlboro,MD,207745473,NA,2024-05-10,5429.32,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500677569,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,2024-06-02,5415.51,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662931,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,2024-05-21,5000,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673521,ORG,LSH GE Gateway 2 LLC,NA,NA,NA,NA,NA,1829 Reisterstown Rd,Ste 300,Pikesville,MD,212087106,NA,2024-05-30,5000,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500658574,ORG,NAI The Michael Companies Inc,NA,NA,NA,NA,NA,10100 Business Pkwy,NA,Lanham,MD,207061802,NA,2024-05-01,5000,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500662937,ORG,Nielsen Consulting LLC,NA,NA,NA,NA,NA,621 11Th St NE,NA,Washington,DC,200025317,NA,2024-05-21,5000,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500677571,ORG,Nielsen Consulting LLC,NA,NA,NA,NA,NA,621 11Th St NE,NA,Washington,DC,200025317,NA,2024-05-21,5000,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673471,ORG,Cavendish Consulting LLC,NA,NA,NA,NA,NA,3609 Denmark Pl,NA,Bowie,MD,207211200,NA,2024-06-23,5000,Political Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673706,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,2024-06-13,4971.76,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673704,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,2024-06-27,4971.76,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661924,IND,NA,Sloan,David,Augustine,NA,Jr,PO Box 3583,NA,Capitol Heights,MD,207913583,NA,2024-05-13,4660.25,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656466,IND,NA,Sloan,David,Augustine,NA,Jr,PO Box 3583,NA,Capitol Heights,MD,207913583,NA,2024-04-29,4660.25,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500662942,ORG,Wave Break Digital LLC,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-21,4555.12,Website Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500656460,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-04-29,4364.78,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673674,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-30,4364.78,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673673,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-27,4364.78,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673675,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-13,4364.77,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661918,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-13,4364.77,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500662923,ORG,Capitol Percussion LLC,NA,NA,NA,NA,NA,5650 Rivertech Ct,Ste Q,Riverdale,MD,207371245,NA,2024-05-21,4020.05,Event Entertainment,NA,NA,2024,Alsobrooks
SB17,C00840017,500673520,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,2024-06-24,4000,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662925,ORG,Campaign Finance Consultants Inc,NA,NA,NA,NA,NA,750 1St St NE,Ste 1070,Washington,DC,200028008,NA,2024-05-21,4000,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500659778,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,2024-05-07,3785.6,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662941,ORG,Clipbook,NA,NA,NA,NA,NA,800 P St NW,Unit 703,Washington,DC,200013382,NA,2024-05-21,3540,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500663072,ORG,Country Club At Woodmore,NA,NA,NA,NA,NA,12320 Pleasant Prospect Rd,NA,Bowie,MD,207212515,NA,2024-05-18,3515.51,Site Rental/Catering,X,*,2024,Alsobrooks
SB17,C00840017,500673696,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-13,3510.4,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673694,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-27,3510.4,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661919,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,2024-05-13,3473.97,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656461,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,2024-04-29,3473.97,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673677,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,2024-06-13,3473.97,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673676,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,2024-05-30,3473.97,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673678,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,2024-06-27,3473.97,Salary,X,*,2024,Alsobrooks
SB20A,C00840017,500673636,IND,NA,Jonas,Rosalyn,Levy,NA,NA,7770 Norfolk Ave,Apt 1308,Bethesda,MD,208147086,NA,2024-06-02,3275,Contribution Refund,NA,NA,2024,Alsobrooks
SB17,C00840017,500673525,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,2024-06-12,3125,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500658575,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,2024-05-03,3125,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500656449,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-04-26,3000,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662909,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,2024-05-21,3000,Media Production,NA,NA,2024,Alsobrooks
SB20A,C00840017,500673663,IND,NA,London,Charles,NA,NA,NA,501 S Plymouth Blvd,NA,Los Angeles,CA,900204709,NA,2024-06-30,2900,Contribution Refund,NA,NA,2024,Alsobrooks
SB20A,C00840017,500661870,IND,NA,Wiley,David,NA,NA,NA,1506 Hollyhill Pl,NA,Blacksburg,VA,240606200,NA,2024-05-19,2900,Contribution Refund,NA,NA,2024,Alsobrooks
SB20A,C00840017,500673658,IND,NA,Cunningham,Carolyn,NA,NA,NA,2514 E Limepit Rd,NA,Kingman,IN,479528030,NA,2024-06-23,2900,Contribution Refund,NA,NA,2024,Alsobrooks
SB17,C00840017,500662914,ORG,Bumperactive,NA,NA,NA,NA,NA,5903 Burnet Rd,NA,Austin,TX,787573224,NA,2024-05-21,2899.68,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673679,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-27,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673695,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-30,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673680,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-30,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673681,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-13,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661922,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-13,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661920,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-13,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656464,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-04-29,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656462,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-04-29,2895.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661927,IND,NA,Winfield,Rachel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-13,2880.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656469,IND,NA,Winfield,Rachel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-04-29,2880.96,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656463,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-04-29,2855.54,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673669,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-30,2855.54,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673668,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-27,2855.54,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673670,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-06-13,2855.54,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661921,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,2024-05-13,2855.54,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673519,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,2024-06-02,2584.49,Fundraising Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673440,ORG,4Wall Entertainment Inc,NA,NA,NA,NA,NA,8801 Monard Dr,NA,Silver Spring,MD,209101816,NA,2024-05-30,2581.1,Media Production,NA,NA,2024,Alsobrooks
