jurisdiction_code,county_name,poll_place_id,poll_name,poll_address1,city,state,zip,legislative_sub_district,legislative_district,congressional_district,judicial_circuit,appellate_circuit,councilmanic_district,election_district,building_type,college_nearby,college_name,is_early_voting_location,election_district_precinct
2,Anne Arundel,36289,Brooklyn Park Library,1 11th Avenue East,Baltimore,MD,21225,12B,12,03,05,05,001,01,OTHER,NA,NA,NA,001-016
2,Anne Arundel,36287,Park Elementary School,201 11th Avenue East,Baltimore,MD,21225,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-017
2,Anne Arundel,37511,Brooklyn Park Ms,200 Hammonds Lane,Baltimore,MD,21225,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-018
2,Anne Arundel,37898,Severn Center,1160 Reece RD,Severn,MD,21144,NA,32,03,05,05,001,01,SENIOR CENTER,NA,NA,EVC-8,001-019
2,Anne Arundel,37557,Van Bokkelen Es,1140 Reece Road,Severn,MD,21144,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-020
2,Anne Arundel,37513,Chesapeake Science Point Cs,7321 Parkway Drive South,Hanover,MD,21076,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-021
2,Anne Arundel,37526,Jessup Es,2798 Champion Forest Avenue,Jessup,MD,20794,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-022
2,Anne Arundel,37526,Jessup Es,2798 Champion Forest Avenue,Jessup,MD,20794,NA,32,05,05,05,001,01,SCHOOL,NA,NA,NA,001-023
2,Anne Arundel,37545,Severn Es,838 Reece Road,Severn,MD,21144,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-024
2,Anne Arundel,37526,Jessup Es,2798 Champion Forest Avenue,Jessup,MD,20794,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-025
2,Anne Arundel,37545,Severn Es,838 Reece Road,Severn,MD,21144,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-001
2,Anne Arundel,36304,Southgate Elementary School,290 Shetlands Lane,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-002
2,Anne Arundel,36305,Glen Burnie Park ES,500 Marlboro Road,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-003
2,Anne Arundel,37540,Quarterfield Es,7967 Quarterfield Road,Severn,MD,21144,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-004
2,Anne Arundel,36306,Oakwood Elementary School,330 Oak Manor Drive,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-005
2,Anne Arundel,37515,Corkran Ms,7600 Quarterfield Road,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-006
2,Anne Arundel,37541,Richard Henry Lee Es,400 A Street SW,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-007
2,Anne Arundel,36290,Glendale Elementary School,105 Carroll Road,Glen Burnie,MD,21060,12B,12,03,05,05,002,02,SCHOOL,NA,NA,NA,002-008
2,Anne Arundel,37540,Quarterfield Es,7967 Quarterfield Road,Severn,MD,21144,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-009
2,Anne Arundel,37278,Point Pleasant Annex,1450 Furnace Avenue,Glen Burnie,MD,21060,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-010
2,Anne Arundel,36307,Woodside Elementary School,160 Funke Road,Glen Burnie,MD,21061,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-011
2,Anne Arundel,37524,Glen Burnie Hs,7550 Baltimore Annapolis BLVD,Glen Burnie,MD,21060,12B,12,03,05,05,002,02,OTHER,NA,NA,NA,002-012
2,Anne Arundel,37279,Old Mill High School,600 Patriot Lane,Millersville,MD,21108,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-013
2,Anne Arundel,36308,Rippling Woods Elementary School,530 Nolfield Drive,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-014
2,Anne Arundel,37896,Old Mill Ms North,610 Patriot Lane,Millersville,MD,21108,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-015
2,Anne Arundel,37515,Corkran Ms,7600 Quarterfield Road,Glen Burnie,MD,21061,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-016
2,Anne Arundel,37896,Old Mill Ms North,610 Patriot Lane,Millersville,MD,21108,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-017
2,Anne Arundel,36657,Ruth Parker Eason School,648 Old Mill Road,Millersville,MD,21108,NA,32,03,05,05,002,02,SCHOOL,NA,NA,NA,002-018
2,Anne Arundel,37528,Marley Es,715 Cooper Road,Glen Burnie,MD,21060,12B,12,03,05,05,002,02,SCHOOL,NA,NA,NA,002-019
2,Anne Arundel,36846,Grace of God Fellowship,8302 Elvaton Road,Millersville,MD,21108,NA,31,03,05,05,002,02,CHURCH,NA,NA,NA,002-020
2,Anne Arundel,36847,Heritage Community Church,8146 Quarterfield Road,Severn,MD,21144,NA,31,03,05,05,002,02,CHURCH,NA,NA,NA,002-021
2,Anne Arundel,37394,Point Pleasant Elementary School,1035 Dumbarton Road,Glen Burnie,MD,21060,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-022
2,Anne Arundel,37542,Ridgeway Es,1440 Evergreen Road,Severn,MD,21144,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-023
2,Anne Arundel,37542,Ridgeway Es,1440 Evergreen Road,Severn,MD,21144,NA,31,03,05,05,002,02,SCHOOL,NA,NA,NA,002-024
2,Anne Arundel,37534,Northeast HS - Cafeteria,1121 Duvall Highway,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-001
2,Anne Arundel,36293,Riviera Beach Elementary School,8515 Jenkins Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-002
2,Anne Arundel,37525,High Point Es,7789 Edgewood Avenue,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-003
2,Anne Arundel,37535,Northeast Ms,7922 Outing Avenue,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-004
2,Anne Arundel,37535,Northeast Ms,7922 Outing Avenue,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-005
2,Anne Arundel,37899,Solley Es,7608 Solley Road,Glen Burnie,MD,21060,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-006
2,Anne Arundel,37554,Sunset Es,8572 Fort Smallwood Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-007
2,Anne Arundel,37529,Marley Ms,10 Davis Court,Glen Burnie,MD,21060,12B,12,03,05,05,003,03,SCHOOL,NA,NA,NA,003-008
2,Anne Arundel,36662,Pasadena Elementary School,401 Pasadena Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-009
2,Anne Arundel,36878,Chesapeake Bay MS - B Side,4804 Mountain Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-010
2,Anne Arundel,36292,Bodkin Elementary School,8320 Ventnor Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-011
2,Anne Arundel,37521,Fort Smallwood Es,1720 Poplar Ridge Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-012
2,Anne Arundel,37527,Lake Shore Es,4531 Mountain Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-013
2,Anne Arundel,37529,Marley Ms,10 Davis Court,Glen Burnie,MD,21060,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-014
2,Anne Arundel,36294,Chesapeake High School,4798 Mountain Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-015
2,Anne Arundel,37910,Riviera Beach Library,1130 Duvall HWY,Pasadena,MD,21122,NA,31,03,05,05,003,03,LIBRARY,NA,NA,EVC-7,003-016
2,Anne Arundel,36295,Jacobsville Elementary School,3801 Mountain Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-017
2,Anne Arundel,37527,Lake Shore Es,4531 Mountain Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-018
2,Anne Arundel,37521,Fort Smallwood Es,1720 Poplar Ridge Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-019
2,Anne Arundel,36658,Emmanuel Lutheran Church,8615 Fort Smallwood Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,CHURCH,NA,NA,NA,003-020
2,Anne Arundel,37554,Sunset Es,8572 Fort Smallwood Road,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-021
2,Anne Arundel,37895,Northeast Hs - Gym,1121 Duvall HWY,Pasadena,MD,21122,NA,31,03,05,05,003,03,SCHOOL,NA,NA,NA,003-022
2,Anne Arundel,36821,Earleigh Heights VFD,161 Ritchie Highway,Severna Park,MD,21146,NA,31,03,05,05,003,03,FIRE STATION,NA,NA,EVC-3,003-023
2,Anne Arundel,36822,Orchard Beach VFD,7549 Solley Road,Glen Burnie,MD,21060,NA,31,03,05,05,003,03,FIRE STATION,NA,NA,NA,003-024
2,Anne Arundel,36291,Freetown Elementary School,7904 Freetown Road,Glen Burnie,MD,21060,12B,12,03,05,05,003,03,SCHOOL,NA,NA,NA,003-025
2,Anne Arundel,36387,Maryland City Elementary School,3359 Crumpton South,Laurel,MD,20724,NA,32,05,05,05,004,04,SCHOOL,NA,NA,NA,004-001
2,Anne Arundel,36309,Odenton Elementary School,1290 Odenton Road,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-002
2,Anne Arundel,37508,Arundel Hs,1001 Annapolis Road,Gambrills,MD,21054,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-003
2,Anne Arundel,37530,Meade Heights Es,1925 Reece Road,Fort Meade,MD,20755,NA,32,03,05,05,004,04,SCHOOL,NA,NA,NA,004-004
2,Anne Arundel,37539,Piney Orchard Es,2641 Strawberry Lake Way,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-005
2,Anne Arundel,37514,Community Umc,300 Brock Bridge Road,Laurel,MD,20724,NA,32,05,05,05,004,04,CHURCH,NA,NA,NA,004-006
2,Anne Arundel,36848,Meade Middle School,1103 26th Street,Fort Meade,MD,20755,NA,32,05,05,05,004,04,SCHOOL,NA,NA,NA,004-007
2,Anne Arundel,37522,Four Seasons Es,979 Waugh Chapel Road,Gambrills,MD,21054,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-008
2,Anne Arundel,36849,Maryland City at Russett Library,3501 Russett Common,Laurel,MD,20724,NA,32,05,05,05,004,04,OTHER,NA,NA,NA,004-009
2,Anne Arundel,37555,Two Rivers Clubhouse,1425 Two Rivers Boulevard,Odenton,MD,21113,NA,21,05,05,05,004,04,COMMUNITY CENTER,NA,NA,NA,004-010
2,Anne Arundel,36310,O'Malley Senior Center,1275 Odenton Road,Odenton,MD,21113,33A,33,05,05,05,004,04,COMMUNITY CENTER,NA,NA,NA,004-011
2,Anne Arundel,37376,Odenton Baptist Church,8410 Piney Orchard Parkway,Odenton,MD,21113,33A,33,05,05,05,004,04,CHURCH,NA,NA,NA,004-012
2,Anne Arundel,37510,Brock Bridge Es,405 Brock Bridge Road,Laurel,MD,20724,NA,21,05,05,05,004,04,SCHOOL,NA,NA,NA,004-013
2,Anne Arundel,37532,Nantucket Es,2350 Nantucket Drive,Crofton,MD,21114,NA,21,05,05,05,004,04,SCHOOL,NA,NA,NA,004-014
2,Anne Arundel,37532,Nantucket Es,2350 Nantucket Drive,Crofton,MD,21114,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-015
2,Anne Arundel,37539,Piney Orchard Es,2641 Strawberry Lake Way,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-016
2,Anne Arundel,37510,Brock Bridge Es,405 Brock Bridge Road,Laurel,MD,20724,NA,32,05,05,05,004,04,SCHOOL,NA,NA,NA,004-017
2,Anne Arundel,37893,Faith Community Church,1306 Riedel Road,Gambrills,MD,21054,NA,21,05,05,05,004,04,CHURCH,NA,NA,NA,004-018
2,Anne Arundel,37544,Seven Oaks Es,1905 Town Center Boulevard,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-019
2,Anne Arundel,37889,Ark And Dove Presbyterian Church,8424 Piney Orchard Parkway,Odenton,MD,21113,NA,21,05,05,05,004,04,CHURCH,NA,NA,NA,004-020
2,Anne Arundel,37532,Nantucket Es,2350 Nantucket Drive,Crofton,MD,21114,33B,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-021
2,Anne Arundel,36944,Crofton Library,1681 Riedel Road,Crofton,MD,21114,33A,33,05,05,05,004,04,OTHER,NA,NA,NA,004-022
2,Anne Arundel,37904,Waugh Chapel Es,840 Sunflower Drive,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-023
2,Anne Arundel,37544,Seven Oaks Es,1905 Town Center Boulevard,Odenton,MD,21113,33A,33,05,05,05,004,04,SCHOOL,NA,NA,NA,004-024
2,Anne Arundel,37901,St. Margaret's Episcopal Church,1601 Pleasant Plains Road,Annapolis,MD,21409,33C,33,03,05,05,005,05,CHURCH,NA,NA,NA,005-001
2,Anne Arundel,36767,Cape St. Claire ES,931 Blue Ridge Drive,Annapolis,MD,21409,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-002
2,Anne Arundel,37891,Broadneck Es,470 Shore Acres Road,Arnold,MD,21012,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-003
2,Anne Arundel,36850,Belvedere Elementary School,360 Broadwater Road,Arnold,MD,21012,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-004
2,Anne Arundel,36311,Jones Elementary School,122 Hoyle Lane,Severna Park,MD,21146,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-005
2,Anne Arundel,36312,Severna Park Elementary School,6 Riggs Avenue,Severna Park,MD,21146,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-006
2,Anne Arundel,37377,Benfield Elementary School,365 Lynwood Drive,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-007
2,Anne Arundel,36313,Oak Hill Elementary School,34 Truck House Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-008
2,Anne Arundel,37520,Folger McKinsey Es,175 Arundel Beach Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-009
2,Anne Arundel,37520,Folger McKinsey Es,175 Arundel Beach Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-010
2,Anne Arundel,37277,Magothy River Middle School,241 Peninsula Farm Road,Arnold,MD,21012,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-011
2,Anne Arundel,37546,Severna Park Hs,60 Robinson Road,Severna Park,MD,21146,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-012
2,Anne Arundel,37891,Broadneck Es,470 Shore Acres Road,Arnold,MD,21012,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-013
2,Anne Arundel,36296,Severna Park Library,45 West McKinsey Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,OTHER,NA,NA,NA,005-014
2,Anne Arundel,37549,Shipley's Choice Es,310 Governor William Stone Parkway,Millersville,MD,21108,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-015
2,Anne Arundel,37378,Severn River Middle School,241 Peninsula Farm Road,Arnold,MD,21012,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-016
2,Anne Arundel,36768,Cape St. Claire Improvement Assoc.,1223 River Bay Road,Annapolis,MD,21409,33C,33,03,05,05,005,05,COMMUNITY CENTER,NA,NA,NA,005-017
2,Anne Arundel,37892,Broadneck Hs,1265 Green Holly Drive,Annapolis,MD,21409,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-018
2,Anne Arundel,37547,Severna Park Ms,450 Jumpers Hole Road,Severna Park,MD,21146,33B,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-019
2,Anne Arundel,37892,Broadneck Hs,1265 Green Holly Drive,Annapolis,MD,21409,30A,30,03,05,05,005,05,SCHOOL,NA,NA,NA,005-020
2,Anne Arundel,36851,CrossPointe Church,365 Jones Station Road,Arnold,MD,21012,33C,33,03,05,05,005,05,CHURCH,NA,NA,NA,005-021
2,Anne Arundel,37509,Arundel Ms,1179 Hammond Lane,Odenton,MD,21113,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-022
2,Anne Arundel,37506,Arnold Es,95 Joyce Lane East,Arnold,MD,21012,30A,30,03,05,05,005,05,SCHOOL,NA,NA,NA,005-023
2,Anne Arundel,37547,Severna Park Ms,450 Jumpers Hole Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-024
2,Anne Arundel,37536,Odenton Library,1325 Annapolis Road,Odenton,MD,21113,33A,33,05,05,05,005,05,LIBRARY,NA,NA,EVC-1,005-025
2,Anne Arundel,37506,Arnold Es,95 Joyce Lane East,Arnold,MD,21012,30A,30,03,05,05,005,05,SCHOOL,NA,NA,NA,005-026
2,Anne Arundel,36661,Broadneck Library,1275 Green Holly Drive,Annapolis,MD,21409,33C,33,03,05,05,005,05,OTHER,NA,NA,EVC10,005-027
2,Anne Arundel,37558,Windsor Farm Es,591 Broadneck Road,Annapolis,MD,21409,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-028
2,Anne Arundel,37538,Pasadena Umc,61 Ritchie Highway,Pasadena,MD,21122,NA,31,03,05,05,005,05,CHURCH,NA,NA,NA,005-029
2,Anne Arundel,37509,Arundel Ms,1179 Hammond Lane,Odenton,MD,21113,NA,31,05,05,05,005,05,SCHOOL,NA,NA,NA,005-030
2,Anne Arundel,37546,Severna Park Hs,60 Robinson Road,Severna Park,MD,21146,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-031
2,Anne Arundel,37536,Odenton Library,1325 Annapolis Road,Odenton,MD,21113,33A,33,03,05,05,005,05,LIBRARY,NA,NA,EVC-1,005-032
2,Anne Arundel,37549,Shipley's Choice Es,310 Governor William Stone Parkway,Millersville,MD,21108,NA,31,03,05,05,005,05,SCHOOL,NA,NA,NA,005-033
2,Anne Arundel,36945,Asbury Town - Neck UMC,429 Asbury Drive,Severna Park,MD,21146,NA,31,03,05,05,005,05,CHURCH,NA,NA,NA,005-034
2,Anne Arundel,37558,Windsor Farm Es,591 Broadneck Road,Annapolis,MD,21409,33C,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-035
2,Anne Arundel,37508,Arundel Hs,1001 Annapolis Road,Gambrills,MD,21054,33A,33,05,05,05,005,05,SCHOOL,NA,NA,NA,005-036
2,Anne Arundel,37509,Arundel Ms,1179 Hammond Lane,Odenton,MD,21113,33A,33,03,05,05,005,05,SCHOOL,NA,NA,NA,005-037
2,Anne Arundel,37888,Annapolis Senior Center,119 South Villa Avenue,Annapolis,MD,21401,30A,30,03,05,05,006,06,SENIOR CENTER,NA,NA,NA,006-001
2,Anne Arundel,36771,Germantown Elementary School,200 Windell Avenue,Annapolis,MD,21401,30A,30,03,05,05,006,06,SCHOOL,NA,NA,NA,006-002
2,Anne Arundel,37319,Phoenix Academy,1411 Cedar Park Road,Annapolis,MD,21401,30A,30,03,05,05,006,06,OTHER,NA,NA,NA,006-003
