id,name,slug,amount,state,address,city,zip,naics_code,business_type,race,gender,veteran,non_profit,jobs_retained,date_approved,lender,congressional_district,loan_range_sort_key,previous_loan_range,previous_name,loan_number,sba_office_code,processing_method,loan_status,term,sba_guaranty_percentage,initial_approval_amount,current_approval_amount,undisbursed_amount,franchise_name,servicing_lender_location_id,servicing_lender_name,servicing_lender_address,servicing_lender_city,servicing_lender_state,servicing_lender_zip,rural_urban_indicator,hubzone_indicator,business_age_description,project_city,project_county_name,project_state,project_zip,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,originating_lender_city,originating_lender_state,loan_status_date,originating_lender_location_id,old_slug,lmi_indicator,unmatched_original,unmatched_updated,previous_jobs_reported,ethnicity,forgiveness_amount,forgiveness_date
105048604,NEW LIFE COMMUNITY CHURCH,new-life-community-church-8460087004,80800,WV,4102 TABLER STATION RD,INWOOD,25428-4552,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,TRUE,14,2020-04-08,Bank of Charles Town,WV-02,NA,NA,NA,8460087004,390,PPP,Paid in Full,24,100,114900,80800,0,NA,75098,Bank of Charles Town,111 E Washington St,CHARLES TOWN,WV,25414-1071,R,N,Existing or more than 2 years old,INWOOD,BERKELEY,WV,25428-4552,NA,80800,NA,NA,NA,NA,NA,CHARLES TOWN,WV,2020-12-19,75098,NA,N,NA,NA,NA,Unknown/NotStated,71154,2020-10-15
105049223,PANHANDLE DUMPSTERS LLC,panhandle-dumpsters-llc-5002677003,72100,WV,446 EAGLE SCHOOL RD,MARTINSBURG,25404-3372,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,11,2020-04-04,MainStreet Bank,WV-02,NA,NA,NA,5002677003,390,PPP,Paid in Full,24,100,72100,72100,0,NA,378264,MainStreet Bank,10089 Fairfax Blvd,FAIRFAX,VA,22030-1742,R,N,New Business or 2 years or less,MARTINSBURG,BERKELEY,WV,25404-3372,NA,72100,NA,NA,NA,NA,NA,FAIRFAX,VA,2021-04-29,378264,NA,N,NA,NA,NA,Unknown/NotStated,72710.38,2021-02-19
105056878,VIRTUAL SOCCER,virtual-soccer-6863628405,24019.65,WV,218 W King St,Martinsburg,25401-3212,451110,Corporation,Unanswered,Unanswered,Unanswered,NA,7,2021-02-11,Jefferson Security Bank,WV-02,NA,NA,NA,6863628405,390,PPS,Exemption 4,60,100,24019.65,24019.65,0,NA,75400,Jefferson Security Bank,105 E Washington St,SHEPHERDSTOWN,WV,25443,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-3212,NA,24019.65,NA,NA,NA,NA,NA,SHEPHERDSTOWN,WV,NA,75400,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
105057403,MACKINNON INDUSTRIES LLC,mackinnon-industries-llc-7078788308,22320,WV,231 N Tennessee Ave,Martinsburg,25401-2340,442291,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,NA,1,2021-01-27,Bank of Charles Town,WV-02,NA,NA,NA,7078788308,390,PPS,Exemption 4,60,100,22320,22320,0,Budget Blinds,75098,Bank of Charles Town,111 E Washington St,CHARLES TOWN,WV,25414-1071,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-2340,NA,22318,NA,NA,NA,NA,NA,CHARLES TOWN,WV,NA,75098,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
105059760,BRADLEY W MONGOLD,bradley-w-mongold-4346798206,20800,WV,109 S LOUISIANA AVE,MARTINSBURG,25401-2035,621111,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2020-08-06,United Bank,WV-02,NA,NA,NA,4346798206,390,PPP,Paid in Full,60,100,20800,20800,0,NA,73259,United Bank,11185 Fairfax Blvd,FAIRFAX,VA,22030-5049,R,Y,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25401-2035,NA,20800,NA,NA,NA,NA,NA,FAIRFAX,VA,2021-04-10,73259,NA,Y,NA,NA,NA,Unknown/NotStated,20921.33,2021-03-11
105061218,C & T FORKLIFT REPAIR,c-t-forklift-repair-9668738009,18785,WV,58 Basil Lane,Gerrardstown,25420-4132,236115,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,3,2020-07-08,Cross River Bank,WV-02,NA,NA,NA,9668738009,390,PPP,Exemption 4,60,100,18785,18785,0,NA,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,R,N,Unanswered,Gerrardstown,BERKELEY,WV,25420-4132,NA,18785,NA,NA,NA,NA,NA,TEANECK,NJ,NA,456756,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105061455,ALESIA FENNELL,alesia-fennell-8141128601,18333,WV,197 Coralberry Dr N/A,Martinsburg,25401-4684,541611,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-03-24,Customers Bank,WV-02,NA,NA,NA,8141128601,390,PPP,Exemption 4,60,100,18333,18333,0,NA,121536,Customers Bank,99 Bridge St,PHOENIXVILLE,PA,19460-3411,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-4684,NA,18333,NA,NA,NA,NA,NA,PHOENIXVILLE,PA,NA,121536,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
105045962,"MARTINSBURG EYE ASSOCIATES, P.L.L.C.",martinsburg-eye-associates-p-l-l-c-6594017110,146197,WV,2002 PROFESSIONAL CT,MARTINSBURG,25401-8808,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,12,2020-04-14,Jefferson Security Bank,WV-02,NA,NA,NA,6594017110,390,PPP,Paid in Full,24,100,217274.25,146197,0,NA,75400,Jefferson Security Bank,105 E Washington St,SHEPHERDSTOWN,WV,25443,R,Y,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25401-8808,NA,146197,NA,NA,NA,NA,NA,SHEPHERDSTOWN,WV,2021-05-18,75400,NA,Y,NA,NA,NA,Unknown/NotStated,147622.42,2021-04-08
105053538,COTY'S AUTO BODY INC,coty-s-auto-body-inc-2444728408,37442,WV,851 Wilson St,Martinsburg,25401-1756,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,6,2021-02-03,United Bank,WV-02,NA,NA,NA,2444728408,390,PPS,Exemption 4,60,100,37442,37442,0,NA,73259,United Bank,11185 Fairfax Blvd,FAIRFAX,VA,22030-5049,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-1756,NA,37442,NA,NA,NA,NA,NA,FAIRFAX,VA,NA,73259,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
105053547,TINY TOTS VILLAGE,tiny-tots-village-8066297206,37400,WV,1890 MIDDLEWAY PIKE,BUNKER HILL,25413-3160,611699,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,NA,12,2020-04-28,"Summit Community Bank, Inc.",WV-02,NA,NA,NA,8066297206,390,PPP,Exemption 4,24,100,37400,37400,0,NA,119785,"Summit Community Bank, Inc.",310 N Main St,MOOREFIELD,WV,26836-1055,R,N,Existing or more than 2 years old,BUNKER HILL,BERKELEY,WV,25413-3160,3708,29984,NA,3708,NA,NA,NA,MOOREFIELD,WV,NA,119785,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105058409,LYDIA DOWNS-JAMAL,lydia-downs-jamal-2578668801,20833,WV,67 Bright Cherry Ct,Martinsburg,25403-7301,624410,Sole Proprietorship,Unanswered,Female Owned,Non-Veteran,NA,1,2021-04-12,Fountainhead SBF LLC,WV-02,NA,NA,NA,2578668801,390,PPS,Exemption 4,60,100,20833,20833,0,NA,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25403-7301,NA,20833,NA,NA,NA,NA,NA,LAKE MARY,FL,NA,524612,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105047326,BOYS & GIRLS CLUB OF THE EASTERN PANHANDLE,boys-girls-club-of-the-eastern-panhandle-9588698500,104120,WV,105 W John St,Martinsburg,25401-3219,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,TRUE,27,2021-03-12,Truist Bank d/b/a Branch Banking & Trust Co,WV-02,NA,NA,NA,9588698500,390,PPS,Exemption 4,60,100,104120,104120,0,NA,225134,Truist Bank d/b/a Branch Banking & Trust Co,214 N Tryon St,CHARLOTTE,NC,28202-1078,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-3219,1,104118,NA,NA,NA,NA,NA,CHARLOTTE,NC,NA,225134,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
105072556,EILIANA MEDINA,eiliana-medina-4213339004,4137,WV,25 E Calabash Ct,Martinsburg,25405-7197,711510,Independent Contractors,Black or African American,Female Owned,Non-Veteran,NA,1,2021-05-20,"Prestamos CDFI, LLC",WV-02,NA,NA,NA,4213339004,390,PPP,Exemption 4,60,100,4137,4137,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25405-7197,NA,4135,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,N,NA,NA,NA,Hispanic or Latino,NA,NA
105075535,FAST AND FRIENDLY AUTO REPAIR AND TOWING SERVICE LLC,fast-and-friendly-auto-repair-and-towing-service-llc-5357858200,1500,WV,726 MIDDLEWAY PIKE,INWOOD,25428-4050,488410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,2,2020-08-07,United Bank,WV-02,NA,NA,NA,5357858200,390,PPP,Exemption 4,60,100,1500,1500,0,NA,73259,United Bank,11185 Fairfax Blvd,FAIRFAX,VA,22030-5049,R,N,Existing or more than 2 years old,INWOOD,BERKELEY,WV,25428-4050,NA,1500,NA,NA,NA,NA,NA,FAIRFAX,VA,NA,73259,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105057065,"THE LOUNGE, LLC",the-lounge-llc-1547477407,23400,WV,215 Monroe Street,Martinsburg,25404,713990,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,NA,8,2020-05-04,First United Bank & Trust,WV-02,NA,NA,NA,1547477407,390,PPP,Paid in Full,24,100,23400,23400,0,NA,30767,First United Bank & Trust,19 S 2nd St,OAKLAND,MD,21550-1517,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25404-0001,NA,23400,NA,NA,NA,NA,NA,OAKLAND,MD,2021-04-17,30767,NA,N,NA,NA,NA,Not Hispanic or Latino,23613.2,2021-04-02
105069748,BILLY BILLY INC,billy-billy-inc-3020317201,6667.5,WV,1000 HOOD CIR STE 309,MARTINSBURG,25403-1350,523910,Corporation,Unanswered,Unanswered,Unanswered,NA,1,2020-04-16,Bank of Charles Town,WV-02,NA,NA,NA,3020317201,390,PPP,Exemption 4,24,100,6667.5,6667.5,0,NA,75098,Bank of Charles Town,111 E Washington St,CHARLES TOWN,WV,25414-1071,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25403-1350,NA,6667.5,NA,NA,NA,NA,NA,CHARLES TOWN,WV,NA,75098,NA,N,NA,NA,NA,Unknown/NotStated,6739.92,2021-05-20
105047671,RURAL OUTREACH ARTHRITIS CENTER,rural-outreach-arthritis-center-9133738405,97000,WV,176 Health Care Ln Ste A,Martinsburg,25401-4010,621399,Corporation,Unanswered,Male Owned,Non-Veteran,NA,7,2021-02-16,"Readycap Lending, LLC",WV-02,NA,NA,NA,9133738405,390,PPS,Exemption 4,60,100,97000,97000,0,NA,499141,"Readycap Lending, LLC",200 Connell Drive Suite 4000,BERKELEY HEIGHTS,NJ,07922,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-4010,1,96998,NA,NA,NA,NA,NA,BERKELEY HEIGHTS,NJ,NA,499141,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105048844,MARTINSBURG SERVICE CENTER LLC,martinsburg-service-center-llc-4326507109,77000,WV,123 RELIANCE RD,MARTINSBURG,25403-8789,811111,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,NA,12,2020-04-13,"Summit Community Bank, Inc.",WV-02,NA,NA,NA,4326507109,390,PPP,Paid in Full,24,100,77000,77000,0,NA,119785,"Summit Community Bank, Inc.",310 N Main St,MOOREFIELD,WV,26836-1055,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25403-8789,6000,61000,10000,NA,NA,NA,NA,MOOREFIELD,WV,2020-12-19,119785,NA,N,NA,NA,NA,Unknown/NotStated,77476.97,2020-11-27
105062479,MULTI-MEDIA COMMUNICATIONS INC.,multi-media-communications-inc-3623108301,16402.5,WV,61 VITA FELICE CT,MARTINSBURG,25404,512110,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,NA,2,2021-01-22,First United Bank & Trust,WV-02,NA,NA,NA,3623108301,390,PPS,Exemption 4,60,100,16402.5,16402.5,0,NA,30767,First United Bank & Trust,19 S 2nd St,OAKLAND,MD,21550-1517,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25404,NA,16401.5,NA,NA,NA,NA,NA,OAKLAND,MD,NA,30767,NA,N,NA,NA,NA,Not Hispanic or Latino,16465.38,2021-06-15
105059510,VINCENT HOWELL,vincent-howell-8127489005,20832,WV,306 Chestnut St,Martinsburg,25401-4201,238990,Sole Proprietorship,White,Male Owned,Non-Veteran,NA,1,2021-05-27,"Prestamos CDFI, LLC",WV-02,NA,NA,NA,8127489005,390,PPP,Active Un-Disbursed,60,100,20832,20832,20832,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-4201,1,20829,NA,NA,NA,NA,NA,Phoenix,AZ,2021-05-27,188361,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
105063982,TOP ASPHALT SUPPLIERS,top-asphalt-suppliers-6734957309,13997,WV,267 GOLF COURSE RD,MARTINSBURG,25404,423930,Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,NA,2,2020-04-30,Cross River Bank,WV-02,NA,NA,NA,6734957309,390,PPP,Exemption 4,24,100,13997,13997,0,NA,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,R,N,Unanswered,MARTINSBURG,BERKELEY,WV,25404-0001,NA,13997,NA,NA,NA,NA,NA,TEANECK,NJ,NA,456756,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105070968,KENDRA CHAMBERLAIN,kendra-chamberlain-4037859007,5540,WV,222 Doyle St,Gerrardstown,25420-4516,531210,Independent Contractors,White,Female Owned,Non-Veteran,NA,1,2021-05-20,"Prestamos CDFI, LLC",WV-02,NA,NA,NA,4037859007,390,PPP,Exemption 4,60,100,5540,5540,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,R,N,Existing or more than 2 years old,Gerrardstown,BERKELEY,WV,25420-4516,1,5539,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
105071423,DAVID L SILVER,david-l-silver-7016218905,5135,WV,922 Airport Rd,Martinsburg,25405-6826,112111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-05-05,"Mid-Atlantic Farm Credit, ACA",WV-02,NA,NA,NA,7016218905,390,PPP,Exemption 4,60,100,5135,5135,0,NA,323403,"Mid-Atlantic Farm Credit, ACA",45 Aileron Court P.O. Box 770,WESTMINSTER,MD,21158,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25405-6826,1,5132,NA,NA,NA,NA,NA,WESTMINSTER,MD,NA,323403,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105052189,GUISEPPES II ENTERPRISES INC,guiseppes-ii-enterprises-inc-3148357310,44900,WV,372 MIDDLEWAY PIKE,INWOOD,25428-3909,722511,Corporation,White,Male Owned,Non-Veteran,NA,15,2020-04-29,"Summit Community Bank, Inc.",WV-02,NA,NA,NA,3148357310,390,PPP,Paid in Full,24,100,44900,44900,0,NA,119785,"Summit Community Bank, Inc.",310 N Main St,MOOREFIELD,WV,26836-1055,R,N,Existing or more than 2 years old,INWOOD,BERKELEY,WV,25428-3909,1916.36,35983.64,7000,NA,NA,NA,NA,MOOREFIELD,WV,2021-01-15,119785,NA,N,NA,NA,NA,Not Hispanic or Latino,45180.63,2020-12-21
105055653,LORI L GOCHENOUR DDS MS PLLC,lori-l-gochenour-dds-ms-pllc-5450867005,28400,WV,11 A TAVERN RD,MARTINSBURG,25401-2890,621111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,5,2020-04-05,United Bank,WV-02,NA,NA,NA,5450867005,390,PPP,Exemption 4,24,100,28400,28400,0,NA,73259,United Bank,11185 Fairfax Blvd,FAIRFAX,VA,22030-5049,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25401-2890,NA,28400,NA,NA,NA,NA,NA,FAIRFAX,VA,NA,73259,NA,N,NA,NA,NA,Unknown/NotStated,23592.4,2021-02-10
105059669,EMMALORE CONSULTING LLC,emmalore-consulting-llc-2002927307,20800,WV,243 Humphrey Lane,Falling Waters,25419,541618,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,1,2020-04-29,Manufacturers and Traders Trust Company,WV-02,NA,NA,NA,2002927307,390,PPP,Paid in Full,24,100,20800,20800,0,NA,46391,Manufacturers and Traders Trust Company,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,R,N,New Business or 2 years or less,Falling Waters,BERKELEY,WV,25419-0001,0,20800,0,0,0,0,0,BUFFALO,NY,2021-02-06,46391,NA,N,NA,NA,NA,Unknown/NotStated,20946.45,2021-01-14
105075402,KENNETH WHITE,kenneth-white-2158079006,1665,WV,113 Strathmore Way W,Martinsburg,25403-1297,722330,Independent Contractors,Black or African American,Male Owned,Veteran,NA,1,2021-05-14,"Prestamos CDFI, LLC",WV-02,NA,NA,NA,2158079006,390,PPP,Exemption 4,60,100,1665,1665,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25403-1297,NA,1663,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
105052749,CASA OM LLC,casa-om-llc-6251658108,41600,WV,681 Carlyle Road,Martinsburg,25404-0542,611699,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,2,2020-07-21,First United Bank & Trust,WV-02,NA,NA,NA,6251658108,390,PPP,Paid in Full,60,100,41600,41600,0,NA,30767,First United Bank & Trust,19 S 2nd St,OAKLAND,MD,21550-1517,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25404-0542,NA,41600,NA,NA,NA,NA,NA,OAKLAND,MD,2021-05-20,30767,NA,N,NA,NA,NA,Unknown/NotStated,41922.4,2021-04-29
105053555,"APPALACHIAN HEATING & AIR CONDITIONING, INC.",appalachian-heating-air-conditioning-inc-3981887403,37346,WV,1504 WINCHESTER AVE,MARTINSBURG,25405-5025,238220,Corporation,Unanswered,Unanswered,Unanswered,NA,6,2020-05-08,Bank of Charles Town,WV-02,NA,NA,NA,3981887403,390,PPP,Exemption 4,24,100,45500,37346,0,NA,75098,Bank of Charles Town,111 E Washington St,CHARLES TOWN,WV,25414-1071,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25405-5025,NA,37346,NA,NA,NA,NA,NA,CHARLES TOWN,WV,NA,75098,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105054094,T LYNN LLC,t-lynn-llc-5237877205,34889.5,WV,7983 TUSCARORA PIKE,MARTINSBURG,25403-1642,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,3,2020-04-27,Jefferson Security Bank,WV-02,NA,NA,NA,5237877205,390,PPP,Exemption 4,24,100,34889.5,34889.5,0,NA,75400,Jefferson Security Bank,105 E Washington St,SHEPHERDSTOWN,WV,25443,R,N,New Business or 2 years or less,MARTINSBURG,BERKELEY,WV,25403-1642,NA,34889.5,NA,NA,NA,NA,NA,SHEPHERDSTOWN,WV,NA,75400,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
