project_county_name,project_state,total
CHATHAM,GA,235
CHATTOOGA,GA,1
CHAUTAUQUA,NY,20
CHAVES,NM,7
CHEATHAM,TN,14
CHEBOYGAN,MI,2
CHELAN,WA,16
CHEMUNG,NY,6
CHENANGO,NY,10
CHEROKEE,AL,2
CHEROKEE,GA,159
CHEROKEE,KS,1
CHEROKEE,OK,1
CHEROKEE,SC,18
CHEROKEE,TX,8
CHESAPEAKE CITY,VA,68
CHESHIRE,NH,5
CHESTER,PA,229
CHESTER,SC,13
CHESTERFIELD,SC,16
CHESTERFIELD,VA,93
CHICKASAW,MS,4
CHICOT,AR,3
CHILTON,AL,11
CHIPPEWA,MI,1
CHIPPEWA,WI,2
CHISAGO,MN,5
CHOCTAW,AL,3
CHOCTAW,OK,1
CHRISTIAN,IL,2
CHRISTIAN,KY,20
CHRISTIAN,MO,11
CITRUS,FL,48
CLACKAMAS,OR,129
CLAIBORNE,LA,4
CLAIBORNE,MS,4
CLAIBORNE,TN,1
CLALLAM,WA,3
CLARE,MI,1
CLARENDON,SC,7
CLARION,PA,24
CLARK,AR,1
CLARK,IN,14
CLARK,KY,2
CLARK,MO,1
CLARK,NV,2
CLARK,OH,12
CLARK,WA,175
CLARKE,AL,8
CLARKE,GA,45
CLARKE,MS,6
CLARKE,VA,3
CLATSOP,OR,11
CLAY,AR,3
CLAY,FL,83
CLAY,IA,1
CLAY,IN,2
CLAY,MN,3
CLAY,MO,33
CLAY,MS,10
CLAY,NE,1
CLAY,TX,1
CLAYTON,GA,611
CLAYTON,IA,1
CLEAR CREEK,CO,3
CLEARFIELD,PA,8
CLEBURNE,AL,5
CLERMONT,OH,41
CLEVELAND,OK,36
CLINCH,GA,2
CLINTON,IA,5
CLINTON,IL,2
CLINTON,IN,1
CLINTON,MI,8
CLINTON,MO,1
CLINTON,NY,6
CLINTON,OH,3
COAHOMA,MS,5
COAL,OK,1
COBB,GA,1029
COCHISE,AZ,9
COCONINO,AZ,27
COFFEE,AL,15
COFFEE,GA,8
COFFEE,TN,10
COLBERT,AL,4
COLE,MO,4
COLES,IL,1
COLFAX,NM,2
COLLETON,SC,12
COLLIER,FL,327
COLLIN,TX,604
COLONIAL HEIGHTS CITY,VA,1
COLORADO,TX,2
COLQUITT,GA,11
COLUMBIA,AR,5
COLUMBIA,FL,19
COLUMBIA,GA,59
COLUMBIA,NY,15
COLUMBIA,OR,4
COLUMBIA,PA,4
COLUMBIA,WI,7
COLUMBIANA,OH,19
COMAL,TX,45
COMANCHE,OK,10
COMANCHE,TX,1
CONCORDIA,LA,3
CONECUH,AL,8
CONWAY,AR,2
COOK,GA,6
COOK,IL,4729
COOKE,TX,1
COOS,NH,1
COOS,OR,7
COOSA,AL,2
COPIAH,MS,10
CORTLAND,NY,3
CORYELL,TX,9
COSHOCTON,OH,6
COVINGTON,AL,20
COVINGTON,MS,4
COWETA,GA,66
COWLEY,KS,2
COWLITZ,WA,16
CRAIG,OK,1
CRAIGHEAD,AR,15
CRAWFORD,AR,2
CRAWFORD,GA,3
CRAWFORD,IL,9
CRAWFORD,IN,1
CRAWFORD,KS,1
CRAWFORD,OH,4
CRAWFORD,PA,10
CRAWFORD,WI,1
CREEK,OK,3
CRENSHAW,AL,1
CRISP,GA,28
CRITTENDEN,AR,17
CRITTENDEN,KY,1
CROOK,OR,7
CROSS,AR,1
CROWLEY,CO,2
CULEBRA,PR,1
CULLMAN,AL,8
CULPEPER,VA,16
CUMBERLAND,ME,41
CUMBERLAND,NJ,36
CUMBERLAND,PA,21
CUMBERLAND,TN,2
CUMBERLAND,VA,2
CURRY,NM,2
CURRY,OR,1
CUSTER,CO,2
CUSTER,OK,2
CUYAHOGA,OH,575
DADE,GA,9
DADE,MO,1
DAKOTA,MN,66
DAKOTA,NE,3
DALE,AL,6
DALLAS,AL,22
DALLAS,AR,1
DALLAS,IA,9
DALLAS,MO,1
DALLAS,TX,1767
DANE,WI,86
DANVILLE CITY,VA,19
DARKE,OH,2
DARLINGTON,SC,17
DAUPHIN,PA,43
DAVIDSON,TN,560
DAVIESS,IN,1
DAVIESS,KY,3
DAVIESS,MO,1
DAVIS,UT,54
DAWSON,GA,13
DAWSON,NE,1
DE KALB,AL,4
DE KALB,IN,8
DE SOTO,FL,22
DE SOTO,LA,4
DEARBORN,IN,2
DECATUR,GA,28
DECATUR,IN,1
DECATUR,TN,1
DEFIANCE,OH,7
DEKALB,GA,1428
DEKALB,IL,25
DEKALB,TN,3
DELAWARE,IN,13
DELAWARE,NY,9
DELAWARE,OH,50
DELAWARE,OK,1
DELAWARE,PA,208
DELTA,CO,3
DELTA,TX,1
DENT,MO,1
DENTON,TX,320
DENVER,CO,344
DES MOINES,IA,2
DESCHUTES,OR,54
DESHA,AR,2
DESOTO,MS,117
DEWITT,IL,1
DICKENSON,VA,1
DICKINSON,KS,4
DICKSON,TN,5
DILLON,SC,11
DISTRICT OF COLUMBIA,DC,498
DIXIE,FL,2
DIXON,NE,4
DODGE,GA,7
DODGE,MN,1
DODGE,NE,5
DODGE,WI,12
DONA ANA,NM,56
DOOLY,GA,17
DOOR,WI,5
DORADO,PR,1
DORCHESTER,MD,3
DORCHESTER,SC,70
DOUGHERTY,GA,160
DOUGLAS,CO,103
DOUGLAS,GA,208
DOUGLAS,KS,15
DOUGLAS,MO,1
DOUGLAS,NE,78
DOUGLAS,OR,7
DOUGLAS,WA,5
DREW,AR,1
DUBOIS,IN,3
DUBUQUE,IA,9
DUKES,MA,1
DUNN,WI,2
DUPAGE,IL,528
DUTCHESS,NY,96
DUVAL,FL,662
DUVAL,TX,1
DYER,TN,3
EAGLE,CO,14
EARLY,GA,7
EAST BATON ROUGE,LA,228
EAST CARROLL,LA,3
EAST FELICIANA,LA,6
EASTLAND,TX,3
EATON,MI,10
EAU CLAIRE,WI,5
ECTOR,TX,89
EDDY,NM,2
EDGAR,IL,2
EDGEFIELD,SC,4
EFFINGHAM,GA,19
EFFINGHAM,IL,3
EL PASO,CO,195
EL PASO,TX,209
ELBERT,CO,10
ELBERT,GA,3
ELK,PA,3
ELKHART,IN,83
ELLIS,KS,5
ELLIS,TX,91
ELMORE,AL,8
ELMORE,ID,1
EMANUEL,GA,13
EMMET,MI,6
EMPORIA,VA,3
ERATH,TX,18
ERIE,NY,158
ERIE,OH,12
ERIE,PA,38
ESCAMBIA,AL,9
ESCAMBIA,FL,143
ESSEX,MA,266
ESSEX,NJ,653
ESSEX,NY,2
ESSEX,VA,1
ETOWAH,AL,45
EVANGELINE,LA,4
EVANS,GA,3
FAIRBANKS NORTH STAR,AK,1
FAIRFAX,VA,628
FAIRFAX CITY,VA,8
FAIRFIELD,CT,537
FAIRFIELD,OH,28
FAIRFIELD,SC,6
FALLS CHURCH CITY,VA,15
FANNIN,GA,9
FANNIN,TX,6
FAULKNER,AR,11
FAUQUIER,VA,22
FAYETTE,AL,14
FAYETTE,GA,155
FAYETTE,IA,1
FAYETTE,IL,1
FAYETTE,IN,2
FAYETTE,KY,62
FAYETTE,OH,3
FAYETTE,PA,7
FAYETTE,TN,16
FAYETTE,WV,7
FINNEY,KS,8
FLAGLER,FL,55
FLATHEAD,MT,6
FLEMING,KY,2
FLORENCE,SC,134
FLOYD,GA,30
FLOYD,IA,4
FLOYD,IN,7
FLOYD,KY,1
FLOYD,VA,4
FLUVANNA,VA,1
FOND DU LAC,WI,22
FORD,IL,1
FORD,KS,6
FOREST,WI,3
FORREST,MS,13
FORSYTH,GA,114
FORT BEND,TX,607
FRANKLIN,AL,4
FRANKLIN,GA,4
FRANKLIN,ID,4
FRANKLIN,IL,3
FRANKLIN,IN,6
FRANKLIN,KS,3
FRANKLIN,KY,8
FRANKLIN,LA,12
FRANKLIN,MA,28
FRANKLIN,ME,5
FRANKLIN,MO,4
FRANKLIN,NY,2
FRANKLIN,OH,646
FRANKLIN,PA,12
FRANKLIN,TN,3
FRANKLIN,VA,15
FRANKLIN,WA,12
FRANKLIN CITY,VA,1
FREDERICK,MD,81
FREDERICK,VA,13
FREDERICKSBURG CITY,VA,15
FREEBORN,MN,2
FREESTONE,TX,4
FREMONT,CO,7
FREMONT,IA,1
FREMONT,WY,2
FRIO,TX,1
FULTON,GA,2128
FULTON,IL,1
FULTON,IN,6
FULTON,NY,10
FULTON,OH,3
FULTON,PA,2
GADSDEN,FL,20
GAGE,NE,4
GAINES,TX,2
GALAX CITY,VA,5
GALLATIN,KY,2
GALLATIN,MT,14
GALVESTON,TX,103
GARFIELD,CO,10
GARFIELD,OK,7
GARLAND,AR,12
GARRARD,KY,4
GARRETT,MD,1
GARVIN,OK,5
GASCONADE,MO,1
GEARY,KS,3
GEAUGA,OH,18
GENESEE,MI,105
GENESEE,NY,2
GENEVA,AL,5
GEORGE,MS,2
GEORGETOWN,SC,9
GIBSON,IN,1
GIBSON,TN,3
GILA,AZ,1
GILCHRIST,FL,5
GILES,TN,4
GILES,VA,1
GILLESPIE,TX,3
GILMER,GA,9
GILMER,WV,1
GILPIN,CO,7
GLADES,FL,1
GLADWIN,MI,2
GLOUCESTER,NJ,56
GLOUCESTER,VA,3
GLYNN,GA,64
GONZALES,TX,1
GOOCHLAND,VA,7
GOODHUE,MN,4
GOODING,ID,3
GORDON,GA,11
GRADY,GA,5
GRADY,OK,5
GRAFTON,NH,4
GRAHAM,AZ,4
GRAINGER,TN,3
GRAND,CO,8
GRAND,UT,3
GRAND TRAVERSE,MI,16
GRANT,AR,2
GRANT,IN,4
GRANT,KS,1
GRANT,LA,2
GRANT,NM,2
GRANT,WA,6
GRANT,WI,3
GRATIOT,MI,3
GRAVES,KY,12
GRAY,KS,1
GRAY,TX,2
GRAYS HARBOR,WA,11
GRAYSON,KY,2
GRAYSON,TX,21
GREEN,WI,25
GREEN LAKE,WI,5
GREENBRIER,WV,6
GREENE,AL,3
GREENE,AR,3
GREENE,GA,6
GREENE,IL,1
GREENE,IN,2
GREENE,MO,26
GREENE,NY,4
GREENE,OH,21
GREENE,PA,1
GREENE,TN,3
GREENE,VA,1
GREENUP,KY,2
GREENVILLE,SC,208
GREENWOOD,SC,13
GREGG,TX,16
GRENADA,MS,2
GRIMES,TX,3
GRUNDY,IA,1
GRUNDY,IL,8
GRUNDY,MO,1
GUADALUPE,TX,42
GUAM,GU,5
GUAYNABO,PR,2
GUERNSEY,OH,3
GUILFORD,NC,1
GULF,FL,4
GUNNISON,CO,3
GWINNETT,GA,1296
HABERSHAM,GA,5
HALE,AL,9
HALE,TX,2
HALIFAX,VA,10
HALL,GA,96
HALL,NE,6
HAMBLEN,TN,28
HAMILTON,FL,3
HAMILTON,IA,1
HAMILTON,IN,131
HAMILTON,NY,1
HAMILTON,OH,258
HAMILTON,TN,158
HAMILTON,TX,2
HAMPDEN,MA,129
HAMPSHIRE,MA,146
HAMPTON,SC,2
HAMPTON CITY,VA,32
HANCOCK,GA,10
HANCOCK,IA,1
HANCOCK,IL,4
HANCOCK,IN,15
HANCOCK,ME,8
HANCOCK,MS,6
HANCOCK,OH,6
HANCOCK,TN,2
HANOVER,VA,9
HARALSON,GA,3
HARDEE,FL,10
HARDEMAN,TN,6
HARDIN,KY,10
HARDIN,OH,2
HARDIN,TN,3
HARDIN,TX,10
HARDY,WV,1
HARFORD,MD,89
HARLAN,KY,3
HARPER,KS,1
HARRIS,GA,19
HARRIS,TX,3306
HARRISON,IN,3
HARRISON,MS,65
HARRISON,OH,1
HARRISON,TX,14
HARRISON,WV,8
HARRISONBURG CITY,VA,13
HART,GA,4
HART,KY,2
HARTFORD,CT,353
HARVEY,KS,3
HASKELL,TX,1
HAWAII,HI,58
HAWKINS,TN,6
HAYS,TX,57
HAYWOOD,TN,3
HEARD,GA,2
HENDERSON,KY,4
HENDERSON,TX,11
HENDRICKS,IN,32
HENDRY,FL,17
HENNEPIN,MN,351
HENRICO,VA,114
HENRY,AL,2
HENRY,GA,439
HENRY,IA,2
HENRY,IL,6
HENRY,IN,8
HENRY,KY,1
HENRY,MO,2
HENRY,OH,6
HENRY,TN,2
HENRY,VA,21
HERKIMER,NY,4
HERNANDO,FL,92
HICKMAN,TN,7
HICKORY,MO,1
HIDALGO,TX,217
HIGHLAND,OH,3
HIGHLANDS,FL,60
HILL,TX,2
HILLSBOROUGH,FL,1684
HILLSBOROUGH,NH,64
HILLSDALE,MI,1
HINDS,MS,122
HOCKING,OH,1
HOCKLEY,TX,2
HODGEMAN,KS,1
HOLMES,FL,5
HOLMES,MS,13
HOLMES,OH,5
HONOLULU,HI,221
HOOD,TX,16
HOOD RIVER,OR,12
HOPEWELL CITY,VA,4
HOPKINS,KY,3
HOPKINS,TX,9
HORRY,SC,61
HOT SPRING,AR,3
HOUSTON,AL,23
HOUSTON,GA,87
HOUSTON,MN,1
HOUSTON,TX,1
HOWARD,IN,9
HOWARD,MD,232
HOWARD,TX,4
HOWELL,MO,3
HUBBARD,MN,1
HUDSON,NJ,595
HUDSPETH,TX,1
HUERFANO,CO,2
HUGHES,OK,1
HUMPHREYS,MS,7
HUMPHREYS,TN,1
HUNT,TX,15
HUNTERDON,NJ,54
HUNTINGTON,IN,1
HURON,OH,7
IBERIA,LA,24
IBERVILLE,LA,4
INDEPENDENCE,AR,1
INDIAN RIVER,FL,118
INDIANA,PA,5
INGHAM,MI,48
IONIA,MI,2
IOWA,IA,1
IOWA,WI,2
IRON,MI,2
IRON,UT,4
IRON,WI,1
IRWIN,GA,5
ISABELLA,MI,2
ISANTI,MN,1
ISLAND,WA,13
ISLE OF WIGHT,VA,5
ITASCA,MN,2
ITAWAMBA,MS,2
JACK,TX,1
JACKSON,AL,1
JACKSON,AR,1
JACKSON,FL,15
JACKSON,GA,31
JACKSON,IA,2
JACKSON,IL,4
JACKSON,LA,5
JACKSON,MI,5
JACKSON,MO,135
JACKSON,MS,30
JACKSON,OH,2
JACKSON,OK,1
JACKSON,OR,35
JACKSON,TX,1
JACKSON,WV,1
JAMES CITY,VA,17
JASPER,GA,9
JASPER,IA,1
JASPER,IL,2
JASPER,IN,8
JASPER,MO,9
JASPER,MS,6
JASPER,SC,9
JASPER,TX,4
JAY,IN,1
JEFF DAVIS,GA,2
JEFFERSON,AL,332
JEFFERSON,AR,13
JEFFERSON,CO,199
JEFFERSON,FL,2
JEFFERSON,GA,4
JEFFERSON,IA,1
JEFFERSON,ID,4
JEFFERSON,IL,3
JEFFERSON,IN,3
JEFFERSON,KS,1
JEFFERSON,KY,187
JEFFERSON,LA,383
JEFFERSON,MO,11
JEFFERSON,MS,2
JEFFERSON,MT,2
JEFFERSON,NY,8
JEFFERSON,OH,5
JEFFERSON,OR,3
JEFFERSON,PA,5
JEFFERSON,TN,17
JEFFERSON,TX,102
JEFFERSON,WA,9
JEFFERSON,WI,24
JEFFERSON,WV,10
JEFFERSON DAVIS,LA,4
JEFFERSON DAVIS,MS,1
JENKINS,GA,1
JENNINGS,IN,3
JESSAMINE,KY,9
JIM HOGG,TX,2
JIM WELLS,TX,6
JO DAVIESS,IL,2
JOHNSON,AR,2
JOHNSON,IA,62
JOHNSON,IN,33
JOHNSON,KS,87
JOHNSON,KY,3
JOHNSON,NE,1
JOHNSON,TN,1
JOHNSON,TX,34
JOHNSON,WY,1
JOHNSTON,OK,1
JONES,GA,22
JONES,IA,1
JONES,MS,12
JOSEPHINE,OR,11
JUAB,UT,3
JUNEAU,AK,5
JUNIATA,PA,1
KALAMAZOO,MI,38
KALKASKA,MI,3
KANAWHA,WV,17
KANDIYOHI,MN,6
KANE,IL,178
KANKAKEE,IL,13
KARNES,TX,2
KAUAI,HI,29
KAUFMAN,TX,49
KAY,OK,2
KEARNY,KS,1
KEITH,NE,1
KEMPER,MS,1
KENAI PENINSULA,AK,8
KENDALL,IL,68
KENDALL,TX,9
KENNEBEC,ME,7
KENOSHA,WI,36
KENT,DE,41
KENT,MD,4
KENT,MI,112
KENTON,KY,18
KERR,TX,23
KERSHAW,SC,25
KETCHIKAN GATEWAY,AK,1
KEWAUNEE,WI,7
KIMBLE,TX,1
KING,WA,1228
KING AND QUEEN,VA,1
KING GEORGE,VA,4
KINGMAN,KS,1
KINGS,NY,3132
KIOWA,OK,2
KITSAP,WA,67
KITTITAS,WA,11
KLAMATH,OR,5
KLEBERG,TX,3
KLICKITAT,WA,7
KNOTT,KY,2
KNOX,IL,3
KNOX,IN,2
KNOX,ME,7
KNOX,NE,1
KNOX,OH,7
KNOX,TN,113
KOOTENAI,ID,16
KOSCIUSKO,IN,12
KOSSUTH,IA,4
LA CROSSE,WI,24
LA PAZ,AZ,3
LA PLATA,CO,5
LA PORTE,IN,14
LA SALLE,IL,4
LA SALLE,LA,5
LA SALLE,TX,1
LABETTE,KS,1
LACKAWANNA,PA,18
LACLEDE,MO,4
LAFAYETTE,AR,3
LAFAYETTE,FL,1
LAFAYETTE,LA,81
LAFAYETTE,MO,1
LAFAYETTE,MS,10
LAFAYETTE,WI,2
LAFOURCHE,LA,25
LAGRANGE,IN,5
LAKE,CO,1
LAKE,FL,247
LAKE,IL,335
LAKE,IN,205
LAKE,MT,1
LAKE,OH,43
LAMAR,AL,3
LAMAR,GA,5
LAMAR,MS,9
LAMAR,TX,8
LAMPASAS,TX,1
LANCASTER,NE,27
LANCASTER,PA,88
LANCASTER,SC,35
LANE,OR,99
LANGLADE,WI,6
LANIER,GA,2
LAPEER,MI,9
LARAMIE,WY,21
LARIMER,CO,70
LARUE,KY,1
LATAH,ID,2
LATIMER,OK,1
LAUDERDALE,AL,9
LAUDERDALE,MS,21
LAUDERDALE,TN,11
LAUREL,KY,8
LAURENS,GA,24
LAURENS,SC,12
LAWRENCE,IL,1
LAWRENCE,IN,2
LAWRENCE,KY,2
LAWRENCE,MO,2
LAWRENCE,MS,2
LAWRENCE,OH,2
LAWRENCE,PA,3
LAWRENCE,TN,1
LE FLORE,OK,1
LE SUEUR,MN,2
LEA,NM,17
LEAKE,MS,1
LEAVENWORTH,KS,7
LEBANON,PA,19
LEE,AL,67
LEE,AR,1
LEE,FL,551
LEE,GA,18
LEE,IA,1
LEE,MS,47
LEE,SC,2
LEE,TX,1
LEE,VA,4
LEELANAU,MI,3
LEFLORE,MS,9
LEHIGH,PA,132
LEMHI,ID,4
LENAWEE,MI,6
LEON,FL,215
LEVY,FL,8
LEWIS,WA,11
LEWIS,WV,1
LEWIS AND CLARK,MT,4
LEXINGTON,SC,94
LEXINGTON CITY,VA,1
LIBERTY,FL,6
LIBERTY,GA,34
LIBERTY,TX,25
LICKING,OH,27
LIMESTONE,AL,18
LIMESTONE,TX,2
LINCOLN,GA,3
LINCOLN,ID,1
LINCOLN,KY,4
LINCOLN,LA,16
LINCOLN,ME,7
LINCOLN,MN,1
LINCOLN,MO,5
LINCOLN,MS,19
LINCOLN,NE,2
LINCOLN,NM,1
LINCOLN,OK,3
LINCOLN,OR,7
LINCOLN,TN,3
LINCOLN,WI,2
LINCOLN,WV,1
LINCOLN,WY,1
LINN,IA,61
LINN,MO,1
LINN,OR,18
LITCHFIELD,CT,34
LIVINGSTON,IL,3
LIVINGSTON,KY,2
LIVINGSTON,LA,42
LIVINGSTON,MI,24
LIVINGSTON,MO,1
LIVINGSTON,NY,8
LLANO,TX,1
LOGAN,CO,1
LOGAN,KY,2
LOGAN,OH,2
LOGAN,OK,6
LOGAN,WV,1
LONG,GA,3
LONOKE,AR,12
LORAIN,OH,51
LOS ALAMOS,NM,1
LOS ANGELES,CA,1
LOUDON,TN,13
LOUDOUN,VA,176
LOUISA,VA,3
LOWNDES,AL,2
LOWNDES,GA,43
LOWNDES,MS,27
LUBBOCK,TX,53
LUCAS,IA,2
LUCAS,OH,143
LUMPKIN,GA,11
LUNA,NM,2
LUZERNE,PA,49
LYCOMING,PA,10
LYNCHBURG CITY,VA,17
MACKINAC,MI,1
MACOMB,MI,240
MACON,AL,12
MACON,GA,4
MACON,IL,24
MACON,MO,2
MACOUPIN,IL,2
MADISON,AL,114
MADISON,FL,4
MADISON,GA,9
MADISON,IA,1
MADISON,IL,34
MADISON,IN,19
MADISON,KY,11
MADISON,LA,1
MADISON,MO,2
MADISON,MS,41
MADISON,NE,1
MADISON,NY,7
MADISON,OH,4
MADISON,TN,12
MADISON,TX,2
MADISON,VA,2
MAHASKA,IA,1
MAHONING,OH,69
MANASSAS CITY,VA,39
MANASSAS PARK CITY,VA,2
MANATEE,FL,237
MANISTEE,MI,1
MANITOWOC,WI,15
MARATHON,WI,8
MARENGO,AL,7
MARICOPA,AZ,1484
MARINETTE,WI,1
MARION,AL,4
MARION,AR,3
MARION,FL,189
MARION,GA,1
MARION,IA,3
MARION,IN,350
MARION,KY,2
MARION,MS,5
MARION,OH,3
MARION,OR,102
MARION,SC,4
MARION,TN,7
MARION,TX,5
MARION,WV,4
MARLBORO,SC,16
MARQUETTE,MI,1
