project_county_name,project_state,total
BARTHOLOMEW,IN,1176
BARTON,KS,1190
BARTON,MO,607
BARTOW,GA,2472
BASTROP,TX,1156
BATES,MO,639
BATH,KY,299
BATH,VA,63
BAXTER,AR,779
BAY,FL,4101
BAY,MI,1484
BAYAMON,PR,3088
BAYFIELD,WI,352
BAYLOR,TX,184
BEADLE,SD,1001
BEAR LAKE,ID,169
BEAUFORT,NC,762
BEAUFORT,SC,4362
BEAUREGARD,LA,458
BEAVER,OK,360
BEAVER,PA,2050
BEAVER,UT,181
BEAVERHEAD,MT,272
BECKER,MN,1214
BECKHAM,OK,1398
BEDFORD,PA,784
BEDFORD,TN,773
BEDFORD,VA,1067
BEE,TX,365
BELKNAP,NH,1323
BELL,KY,265
BELL,TX,5537
BELMONT,OH,786
BELTRAMI,MN,1122
BEN HILL,GA,535
BENEWAH,ID,99
BENNETT,SD,176
BENNINGTON,VT,805
BENSON,ND,302
BENT,CO,182
BENTON,AR,4665
BENTON,IA,1038
BENTON,IN,241
BENTON,MN,1052
BENTON,MO,618
BENTON,MS,285
BENTON,OR,1312
BENTON,TN,292
BENTON,WA,2746
BENZIE,MI,299
BERGEN,NJ,30722
BERKELEY,SC,3955
BERKELEY,WV,1207
BERKS,PA,6295
BERKSHIRE,MA,2885
BERNALILLO,NM,10020
BERRIEN,GA,423
BERRIEN,MI,3190
BERTIE,NC,299
BETHEL,AK,57
BEXAR,TX,32968
BIBB,AL,294
BIBB,GA,7116
BIENVILLE,LA,299
BIG HORN,MT,351
BIG HORN,WY,381
BIG STONE,MN,464
BILLINGS,ND,131
BINGHAM,ID,883
BLACK HAWK,IA,3065
BLACKFORD,IN,120
BLADEN,NC,417
BLAINE,ID,1287
BLAINE,MT,298
BLAINE,NE,71
BLAINE,OK,562
BLAIR,PA,1903
BLANCO,TX,297
BLAND,VA,84
BLECKLEY,GA,300
BLEDSOE,TN,291
BLOUNT,AL,691
BLOUNT,TN,1832
BLUE EARTH,MN,2076
BOISE,ID,113
BOLIVAR,MS,1387
BOLLINGER,MO,424
BON HOMME,SD,598
BOND,IL,483
BONNER,ID,946
BONNEVILLE,ID,2475
BOONE,AR,1082
BOONE,IA,746
BOONE,IL,835
BOONE,IN,1402
BOONE,KY,2001
BOONE,MO,3531
BOONE,NE,742
BOONE,WV,98
BORDEN,TX,18
BOSQUE,TX,380
BOSSIER,LA,3080
BOTETOURT,VA,490
BOTTINEAU,ND,682
BOULDER,CO,10200
BOUNDARY,ID,161
BOURBON,KS,547
BOURBON,KY,537
BOWIE,TX,1960
BOWMAN,ND,252
BOX BUTTE,NE,388
BOX ELDER,UT,1005
BOYD,KY,723
BOYD,NE,308
BOYLE,KY,644
BRACKEN,KY,247
BRADFORD,FL,273
BRADFORD,PA,922
BRADLEY,AR,294
BRADLEY,TN,1556
BRANCH,MI,688
BRANTLEY,GA,211
BRAXTON,WV,127
BRAZORIA,TX,7171
BRAZOS,TX,3625
BREATHITT,KY,134
BRECKINRIDGE,KY,542
BREMER,IA,1089
BREVARD,FL,10857
BREWSTER,TX,183
BRISCOE,TX,75
BRISTOL,MA,9824
BRISTOL,RI,1116
BRISTOL,VA,303
BRISTOL BAY,AK,57
BROADWATER,MT,126
BRONX,NY,33794
BROOKE,WV,179
BROOKINGS,SD,1199
BROOKS,GA,397
BROOKS,TX,87
BROOME,NY,3052
BROOMFIELD,CO,1374
BROWARD,FL,93700
BROWN,IL,205
BROWN,IN,249
BROWN,KS,598
BROWN,MN,1452
BROWN,NE,336
BROWN,OH,644
BROWN,SD,2031
BROWN,TX,932
BROWN,WI,5201
BRULE,SD,371
BRUNSWICK,NC,1720
BRUNSWICK,VA,226
BRYAN,GA,691
BRYAN,OK,1054
BUCHANAN,IA,960
BUCHANAN,MO,1457
BUCHANAN,VA,210
BUCKINGHAM,VA,148
BUCKS,PA,14911
BUENA VISTA,IA,1148
BUENA VISTA CITY,VA,45
BUFFALO,NE,2297
BUFFALO,SD,48
BUFFALO,WI,629
BULLITT,KY,830
BULLOCH,GA,1849
BULLOCK,AL,216
BUNCOMBE,NC,6027
BUREAU,IL,1068
BURKE,GA,627
BURKE,NC,795
BURKE,ND,175
BURLEIGH,ND,2723
BURLESON,TX,490
BURLINGTON,NJ,8310
BURNET,TX,1046
BURNETT,WI,330
BURT,NE,528
BUTLER,AL,448
BUTLER,IA,854
BUTLER,KS,1326
BUTLER,KY,449
BUTLER,MO,1299
BUTLER,NE,767
BUTLER,OH,5866
BUTLER,PA,3165
BUTTE,CA,3151
BUTTE,ID,64
BUTTE,SD,461
BUTTS,GA,901
CABARRUS,NC,3638
CABELL,WV,1350
CABO ROJO,PR,589
CACHE,UT,2186
CADDO,LA,9664
CADDO,OK,1172
CAGUAS,PR,2285
CALAVERAS,CA,642
CALCASIEU,LA,4354
CALDWELL,KY,277
CALDWELL,LA,304
CALDWELL,MO,344
CALDWELL,NC,722
CALDWELL,TX,487
CALEDONIA,VT,594
CALHOUN,AL,1837
CALHOUN,AR,78
CALHOUN,FL,176
CALHOUN,GA,207
CALHOUN,IA,791
CALHOUN,IL,143
CALHOUN,MI,1859
CALHOUN,MS,413
CALHOUN,SC,225
CALHOUN,TX,312
CALHOUN,WV,48
CALLAHAN,TX,299
CALLAWAY,MO,891
CALLOWAY,KY,1146
CALUMET,WI,762
CALVERT,MD,1233
CAMAS,ID,22
CAMBRIA,PA,1961
CAMDEN,GA,623
CAMDEN,MO,1292
CAMDEN,NC,89
CAMDEN,NJ,9978
CAMERON,LA,94
CAMERON,PA,54
CAMERON,TX,6232
CAMP,TX,229
CAMPBELL,KY,1255
CAMPBELL,SD,206
CAMPBELL,TN,687
CAMPBELL,VA,607
CAMPBELL,WY,1260
CAMUY,PR,309
CANADIAN,OK,2802
CANDLER,GA,334
CANNON,TN,169
CANOVANAS,PR,428
CANYON,ID,3166
CAPE GIRARDEAU,MO,2450
CAPE MAY,NJ,2800
CARBON,MT,392
CARBON,PA,706
CARBON,UT,331
CARBON,WY,301
CARIBOU,ID,123
CARLISLE,KY,160
CARLTON,MN,503
CAROLINA,PR,1996
CAROLINE,MD,555
CAROLINE,VA,319
CARROLL,AR,982
CARROLL,GA,2624
CARROLL,IA,1856
CARROLL,IL,650
CARROLL,IN,437
CARROLL,KY,168
CARROLL,MD,2786
CARROLL,MO,567
CARROLL,MS,252
CARROLL,NH,1266
CARROLL,OH,277
CARROLL,TN,484
CARROLL,VA,348
CARSON,TX,150
CARSON CITY,NV,1108
CARTER,KY,407
CARTER,MO,244
CARTER,MT,144
CARTER,OK,1546
CARTER,TN,459
CARTERET,NC,1146
CARVER,MN,2436
CASCADE,MT,1621
CASEY,KY,523
CASS,IA,717
CASS,IL,401
CASS,IN,603
CASS,MI,558
CASS,MN,723
CASS,MO,1881
CASS,ND,5482
CASS,NE,725
CASS,TX,481
CASSIA,ID,651
CASTRO,TX,375
CASWELL,NC,193
CATAHOULA,LA,325
CATANO,PR,250
CATAWBA,NC,2458
CATOOSA,GA,762
CATRON,NM,36
CATTARAUGUS,NY,940
CAVALIER,ND,459
CAYEY,PR,484
CAYUGA,NY,1205
CECIL,MD,1129
CEDAR,IA,845
CEDAR,MO,518
CEDAR,NE,1096
CEIBA,PR,100
CENTRE,PA,2156
CERRO GORDO,IA,1605
CHAFFEE,CO,582
CHAMBERS,AL,1018
CHAMBERS,TX,618
CHAMPAIGN,IL,5035
CHAMPAIGN,OH,587
CHARITON,MO,561
CHARLES,MD,2937
CHARLES CITY,VA,85
CHARLES MIX,SD,898
CHARLESTON,SC,13096
CHARLEVOIX,MI,545
CHARLOTTE,FL,3222
CHARLOTTE,VA,169
CHARLOTTESVILLE CITY,VA,1647
CHARLTON,GA,107
CHASE,KS,128
CHASE,NE,459
CHATHAM,GA,8884
CHATHAM,NC,1157
CHATTAHOOCHEE,GA,56
CHATTOOGA,GA,333
CHAUTAUQUA,KS,182
CHAUTAUQUA,NY,1689
CHAVES,NM,836
CHEATHAM,TN,589
CHEBOYGAN,MI,444
CHELAN,WA,1983
CHEMUNG,NY,1160
CHENANGO,NY,582
CHEROKEE,AL,315
CHEROKEE,GA,5425
CHEROKEE,IA,948
CHEROKEE,KS,426
CHEROKEE,NC,310
CHEROKEE,OK,1217
CHEROKEE,SC,654
CHEROKEE,TX,828
CHERRY,NE,645
CHESAPEAKE CITY,VA,3861
CHESHIRE,NH,1309
CHESTER,PA,10923
CHESTER,SC,556
CHESTER,TN,233
CHESTERFIELD,SC,584
CHESTERFIELD,VA,5889
CHEYENNE,CO,194
CHEYENNE,KS,287
CHEYENNE,NE,481
CHICKASAW,IA,1003
CHICKASAW,MS,692
CHICOT,AR,418
CHILDRESS,TX,193
CHILTON,AL,676
CHIPPEWA,MI,529
CHIPPEWA,MN,666
CHIPPEWA,WI,1576
CHISAGO,MN,997
CHITTENDEN,VT,4244
CHOCTAW,AL,297
CHOCTAW,MS,172
CHOCTAW,OK,622
CHOUTEAU,MT,326
CHOWAN,NC,188
CHRISTIAN,IL,974
CHRISTIAN,KY,1309
CHRISTIAN,MO,2407
CHURCHILL,NV,268
CIALES,PR,118
CIBOLA,NM,137
CIDRA,PR,385
CIMARRON,OK,287
CITRUS,FL,1991
CLACKAMAS,OR,8525
CLAIBORNE,LA,286
CLAIBORNE,MS,389
CLAIBORNE,TN,504
CLALLAM,WA,1304
CLARE,MI,327
CLARENDON,SC,697
CLARION,PA,485
CLARK,AR,425
CLARK,ID,12
CLARK,IL,521
CLARK,IN,1644
CLARK,KS,174
CLARK,KY,646
CLARK,MO,312
CLARK,NV,68730
CLARK,OH,1972
CLARK,SD,476
CLARK,WA,8311
CLARK,WI,933
CLARKE,AL,535
CLARKE,GA,3333
CLARKE,IA,359
CLARKE,MS,325
CLARKE,VA,298
CLATSOP,OR,1017
CLAY,AL,202
CLAY,AR,418
CLAY,FL,3245
CLAY,GA,109
CLAY,IA,928
CLAY,IL,529
CLAY,IN,508
CLAY,KS,543
CLAY,KY,147
CLAY,MN,1627
CLAY,MO,4292
CLAY,MS,1135
CLAY,NC,179
CLAY,NE,489
CLAY,SD,485
CLAY,TN,249
CLAY,TX,333
CLAY,WV,39
CLAYTON,GA,19765
CLAYTON,IA,1161
CLEAR CREEK,CO,240
CLEARFIELD,PA,983
CLEARWATER,ID,139
CLEARWATER,MN,373
CLEBURNE,AL,204
CLEBURNE,AR,568
CLERMONT,OH,2869
CLEVELAND,AR,133
CLEVELAND,NC,1235
CLEVELAND,OK,5468
CLINCH,GA,196
CLINTON,IA,1603
CLINTON,IL,1259
CLINTON,IN,489
CLINTON,KY,444
CLINTON,MI,1136
CLINTON,MO,388
CLINTON,NY,1063
CLINTON,OH,624
CLINTON,PA,408
CLOUD,KS,552
COAHOMA,MS,1171
COAL,OK,281
COAMO,PR,262
COBB,GA,30041
COCHISE,AZ,1220
COCHRAN,TX,67
COCKE,TN,266
COCONINO,AZ,2226
CODINGTON,SD,1276
COFFEE,AL,1021
COFFEE,GA,1695
COFFEE,TN,1089
COFFEY,KS,408
COKE,TX,58
COLBERT,AL,1037
COLE,MO,2375
COLEMAN,TX,267
COLES,IL,1239
COLFAX,NE,666
COLFAX,NM,183
COLLETON,SC,859
COLLIER,FL,11734
COLLIN,TX,26656
COLLINGSWORTH,TX,120
COLONIAL HEIGHTS CITY,VA,345
COLORADO,TX,610
COLQUITT,GA,1109
COLUMBIA,AR,571
COLUMBIA,FL,1066
COLUMBIA,GA,2719
COLUMBIA,NY,1366
COLUMBIA,OR,549
COLUMBIA,PA,922
COLUMBIA,WA,78
COLUMBIA,WI,1488
COLUMBIANA,OH,1304
COLUMBUS,NC,621
COLUSA,CA,312
COMAL,TX,3395
COMANCHE,KS,148
COMANCHE,OK,1934
COMANCHE,TX,376
COMERIO,PR,82
CONCHO,TX,117
CONCORDIA,LA,579
CONECUH,AL,313
CONEJOS,CO,198
CONTRA COSTA,CA,23584
CONVERSE,WY,501
CONWAY,AR,441
COOK,GA,420
COOK,IL,233199
COOK,MN,214
COOKE,TX,969
COOPER,MO,614
COOS,NH,468
COOS,OR,840
COOSA,AL,91
COPIAH,MS,658
COROZAL,PR,254
CORSON,SD,227
CORTLAND,NY,792
CORYELL,TX,804
COSHOCTON,OH,415
COSTILLA,CO,43
COTTLE,TX,58
COTTON,OK,189
COTTONWOOD,MN,834
COVINGTON,AL,940
COVINGTON,MS,679
COVINGTON CITY,VA,130
COWETA,GA,3486
COWLEY,KS,770
COWLITZ,WA,1216
CRAIG,OK,507
CRAIG,VA,81
CRAIGHEAD,AR,2929
CRANE,TX,80
CRAVEN,NC,1305
CRAWFORD,AR,835
CRAWFORD,GA,138
CRAWFORD,IA,1133
CRAWFORD,IL,481
CRAWFORD,IN,73
CRAWFORD,KS,1111
CRAWFORD,MI,142
CRAWFORD,MO,644
CRAWFORD,OH,812
CRAWFORD,PA,1290
CRAWFORD,WI,644
CREEK,OK,1254
CRENSHAW,AL,385
CRISP,GA,1010
CRITTENDEN,AR,1422
CRITTENDEN,KY,248
CROCKETT,TN,328
CROCKETT,TX,74
CROOK,OR,323
CROOK,WY,379
CROSBY,TX,146
CROSS,AR,532
CROW WING,MN,1704
CROWLEY,CO,94
CULBERSON,TX,33
CULEBRA,PR,44
CULLMAN,AL,1876
CULPEPER,VA,826
CUMBERLAND,IL,415
CUMBERLAND,KY,233
CUMBERLAND,ME,8866
CUMBERLAND,NC,5206
CUMBERLAND,NJ,2005
CUMBERLAND,PA,4349
CUMBERLAND,TN,1109
CUMBERLAND,VA,143
CUMING,NE,1263
CURRITUCK,NC,385
CURRY,NM,727
CURRY,OR,373
CUSTER,CO,104
CUSTER,ID,125
CUSTER,MT,388
CUSTER,NE,1178
CUSTER,OK,1322
CUSTER,SD,263
CUYAHOGA,OH,44955
DADE,GA,151
DADE,MO,382
DAGGETT,UT,21
DAKOTA,MN,8525
DAKOTA,NE,595
DALE,AL,969
DALLAM,TX,288
DALLAS,AL,1440
DALLAS,AR,134
DALLAS,IA,1965
DALLAS,MO,616
DALLAS,TX,77592
DANE,WI,12945
DANIELS,MT,163
DANVILLE CITY,VA,798
DARE,NC,1260
DARKE,OH,1351
DARLINGTON,SC,1145
DAUPHIN,PA,4924
DAVIDSON,NC,1956
DAVIDSON,TN,24072
DAVIE,NC,550
DAVIESS,IN,584
DAVIESS,KY,1763
DAVIESS,MO,417
DAVIS,IA,542
DAVIS,UT,5082
DAVISON,SD,908
DAWES,NE,471
DAWSON,GA,568
DAWSON,MT,413
DAWSON,NE,1167
DAWSON,TX,339
DAY,SD,609
DE BACA,NM,56
DE KALB,AL,1933
DE KALB,IN,740
DE SOTO,FL,473
DE SOTO,LA,725
DE WITT,TX,383
DEAF SMITH,TX,449
DEARBORN,IN,608
DECATUR,GA,915
DECATUR,IA,392
DECATUR,IN,567
DECATUR,KS,259
DECATUR,TN,302
DEER LODGE,MT,127
DEFIANCE,OH,704
DEKALB,GA,41956
DEKALB,IL,2564
DEKALB,MO,312
DEKALB,TN,448
DEL NORTE,CA,238
DELAWARE,IA,1328
DELAWARE,IN,1485
DELAWARE,NY,668
DELAWARE,OH,4137
DELAWARE,OK,919
DELAWARE,PA,14065
DELTA,CO,472
DELTA,MI,830
DELTA,TX,102
DENALI,AK,84
DENT,MO,460
DENTON,TX,18382
DENVER,CO,21235
DES MOINES,IA,1110
DESCHUTES,OR,5117
DESHA,AR,629
DESOTO,MS,5749
DEUEL,NE,129
DEUEL,SD,550
DEWEY,OK,539
DEWEY,SD,388
DEWITT,IL,348
DICKENS,TX,43
DICKENSON,VA,118
DICKEY,ND,430
DICKINSON,IA,1141
DICKINSON,KS,770
DICKINSON,MI,527
DICKSON,TN,915
DILLINGHAM,AK,89
DILLON,SC,463
DIMMIT,TX,97
DINWIDDIE,VA,301
DISTRICT OF COLUMBIA,DC,20791
DIVIDE,ND,228
DIXIE,FL,148
DIXON,NE,436
DODDRIDGE,WV,31
DODGE,GA,580
DODGE,MN,708
DODGE,NE,1294
DODGE,WI,1694
DOLORES,CO,77
DONA ANA,NM,2851
DONIPHAN,KS,422
DONLEY,TX,122
DOOLY,GA,467
DOOR,WI,1195
DORADO,PR,742
DORCHESTER,MD,732
DORCHESTER,SC,2953
DOUGHERTY,GA,4746
DOUGLAS,CO,7120
DOUGLAS,GA,6685
DOUGLAS,IL,513
DOUGLAS,KS,2518
DOUGLAS,MN,1547
DOUGLAS,MO,594
DOUGLAS,NE,13131
DOUGLAS,NV,1002
DOUGLAS,OR,1343
DOUGLAS,SD,424
DOUGLAS,WA,532
DOUGLAS,WI,637
DREW,AR,555
DUBOIS,IN,1078
DUBUQUE,IA,3434
DUCHESNE,UT,537
DUKES,MA,999
DUNDY,NE,197
DUNKLIN,MO,573
DUNN,ND,476
DUNN,WI,1091
DUPAGE,IL,29419
DUPLIN,NC,889
DURHAM,NC,6077
DUTCHESS,NY,5835
DUVAL,FL,24563
DUVAL,TX,160
DYER,TN,835
EAGLE,CO,2518
EARLY,GA,480
EAST BATON ROUGE,LA,17639
EAST CARROLL,LA,366
EAST FELICIANA,LA,485
EASTLAND,TX,418
EATON,MI,1818
EAU CLAIRE,WI,2093
ECHOLS,GA,32
ECTOR,TX,4129
EDDY,ND,232
EDDY,NM,1061
EDGAR,IL,541
EDGECOMBE,NC,793
EDGEFIELD,SC,349
EDMONSON,KY,290
EDMUNDS,SD,469
EDWARDS,IL,226
EDWARDS,KS,231
EDWARDS,TX,31
EFFINGHAM,GA,842
EFFINGHAM,IL,1726
EL DORADO,CA,3470
EL PASO,CO,11552
EL PASO,TX,10715
ELBERT,CO,441
ELBERT,GA,491
ELK,KS,164
ELK,PA,527
ELKHART,IN,3059
ELKO,NV,588
ELLIOTT,KY,112
ELLIS,KS,1314
ELLIS,OK,318
ELLIS,TX,3809
ELLSWORTH,KS,287
ELMORE,AL,1311
ELMORE,ID,249
EMANUEL,GA,735
EMERY,UT,225
EMMET,IA,546
EMMET,MI,978
EMMONS,ND,402
EMPORIA,VA,156
ERATH,TX,920
ERIE,NY,17749
ERIE,OH,1637
ERIE,PA,3951
ESCAMBIA,AL,859
ESCAMBIA,FL,6428
ESMERALDA,NV,7
ESSEX,MA,18862
ESSEX,NJ,21723
ESSEX,NY,664
ESSEX,VA,189
ESSEX,VT,73
ESTILL,KY,184
ETOWAH,AL,1799
EUREKA,NV,26
EVANGELINE,LA,574
EVANS,GA,238
FAIRBANKS NORTH STAR,AK,1794
FAIRFAX,VA,25801
FAIRFAX CITY,VA,1169
FAIRFIELD,CT,26773
FAIRFIELD,OH,2566
FAIRFIELD,SC,415
FAJARDO,PR,417
FALL RIVER,SD,229
FALLON,MT,218
FALLS,TX,400
FALLS CHURCH CITY,VA,692
FANNIN,GA,456
FANNIN,TX,534
FARIBAULT,MN,930
FAULK,SD,291
FAULKNER,AR,2337
FAUQUIER,VA,1395
FAYETTE,AL,253
FAYETTE,GA,4155
FAYETTE,IA,1072
FAYETTE,IL,794
FAYETTE,IN,257
FAYETTE,KY,7025
FAYETTE,OH,445
FAYETTE,PA,1658
FAYETTE,TN,1122
FAYETTE,TX,904
FAYETTE,WV,432
FENTRESS,TN,581
FERGUS,MT,650
FERRY,WA,51
FILLMORE,MN,1290
FILLMORE,NE,664
FINNEY,KS,1355
FISHER,TX,207
FLAGLER,FL,1936
FLATHEAD,MT,2494
FLEMING,KY,665
FLORENCE,SC,3654
FLORENCE,WI,66
FLORIDA,PR,119
FLOYD,GA,2346
FLOYD,IA,908
FLOYD,IN,1162
FLOYD,KY,485
FLOYD,TX,193
FLOYD,VA,252
FLUVANNA,VA,275
FOARD,TX,67
FOND DU LAC,WI,1886
FORD,IL,537
FORD,KS,1059
FOREST,PA,42
FOREST,WI,235
FORREST,MS,2249
FORSYTH,GA,5185
FORSYTH,NC,6475
FORT BEND,TX,23360
FOSTER,ND,326
FOUNTAIN,IN,346
FRANKLIN,AL,546
FRANKLIN,AR,353
FRANKLIN,FL,259
FRANKLIN,GA,482
FRANKLIN,IA,707
FRANKLIN,ID,276
FRANKLIN,IL,660
FRANKLIN,IN,584
FRANKLIN,KS,678
FRANKLIN,KY,832
FRANKLIN,LA,800
FRANKLIN,MA,1132
FRANKLIN,ME,574
FRANKLIN,MO,2333
FRANKLIN,MS,190
FRANKLIN,NC,746
FRANKLIN,NE,362
FRANKLIN,NY,586
FRANKLIN,OH,33000
FRANKLIN,PA,2147
FRANKLIN,TN,769
FRANKLIN,TX,209
FRANKLIN,VA,613
FRANKLIN,VT,817
FRANKLIN,WA,1203
FRANKLIN CITY,VA,154
FREDERICK,MD,4542
FREDERICK,VA,1032
FREDERICKSBURG CITY,VA,877
FREEBORN,MN,1032
FREESTONE,TX,492
FREMONT,CO,573
FREMONT,IA,312
FREMONT,ID,288
FREMONT,WY,1214
FRESNO,CA,15314
FRIO,TX,175
FRONTIER,NE,295
FULTON,AR,364
FULTON,GA,67821
FULTON,IL,941
FULTON,IN,437
FULTON,KY,141
FULTON,NY,591
FULTON,OH,906
FULTON,PA,190
FURNAS,NE,480
GADSDEN,FL,982
GAGE,NE,1241
GAINES,TX,1090
GALAX CITY,VA,189
GALLATIN,IL,161
GALLATIN,KY,66
GALLATIN,MT,4159
GALLIA,OH,432
GALVESTON,TX,6179
GARDEN,NE,180
GARFIELD,CO,1858
GARFIELD,MT,140
GARFIELD,NE,247
GARFIELD,OK,1800
GARFIELD,UT,219
GARFIELD,WA,33
GARLAND,AR,2236
GARRARD,KY,497
GARRETT,MD,791
GARVIN,OK,1201
GARZA,TX,66
GASCONADE,MO,599
GASTON,NC,2806
GATES,NC,103
GEARY,KS,468
GEAUGA,OH,1969
GEM,ID,242
GENESEE,MI,7402
GENESEE,NY,879
GENEVA,AL,630
GENTRY,MO,478
GEORGE,MS,298
GEORGETOWN,SC,1586
GIBSON,IN,469
GIBSON,TN,1080
GILA,AZ,507
GILCHRIST,FL,199
GILES,TN,531
GILES,VA,176
GILLESPIE,TX,815
GILLIAM,OR,71
GILMER,GA,438
GILMER,WV,77
GILPIN,CO,100
GLACIER,MT,296
GLADES,FL,101
GLADWIN,MI,249
GLASCOCK,GA,43
GLASSCOCK,TX,93
GLENN,CA,386
GLOUCESTER,NJ,4470
GLOUCESTER,VA,503
GLYNN,GA,2102
GOGEBIC,MI,222
GOLDEN VALLEY,MT,34
GOLDEN VALLEY,ND,152
GOLIAD,TX,111
GONZALES,TX,542
GOOCHLAND,VA,379
GOODHUE,MN,1644
GOODING,ID,287
GORDON,GA,874
GOSHEN,WY,507
GOSPER,NE,173
GOVE,KS,404
GRADY,GA,641
GRADY,OK,1234
GRAFTON,NH,1942
GRAHAM,AZ,266
GRAHAM,KS,221
GRAHAM,NC,99
GRAINGER,TN,292
GRAND,CO,517
GRAND,UT,385
GRAND FORKS,ND,1838
GRAND ISLE,VT,135
GRAND TRAVERSE,MI,2533
GRANITE,MT,93
GRANT,AR,226
GRANT,IN,1034
GRANT,KS,302
GRANT,KY,324
GRANT,LA,179
GRANT,MN,402
GRANT,ND,384
GRANT,NE,80
GRANT,NM,283
GRANT,OK,302
GRANT,OR,160
GRANT,SD,565
GRANT,WA,1474
GRANT,WI,1983
GRANT,WV,205
GRANVILLE,NC,649
GRATIOT,MI,834
GRAVES,KY,795
GRAY,KS,450
GRAY,TX,387
GRAYS HARBOR,WA,935
GRAYSON,KY,628
GRAYSON,TX,2306
GRAYSON,VA,275
GREELEY,KS,213
GREELEY,NE,388
GREEN,KY,492
GREEN,WI,1128
GREEN LAKE,WI,456
GREENBRIER,WV,618
GREENE,AL,422
GREENE,AR,946
GREENE,GA,508
GREENE,IA,567
GREENE,IL,481
GREENE,IN,374
GREENE,MO,7277
GREENE,MS,288
GREENE,NC,266
GREENE,NY,888
GREENE,OH,1950
GREENE,PA,326
GREENE,TN,874
GREENE,VA,252
GREENLEE,AZ,34
GREENSVILLE,VA,162
GREENUP,KY,423
GREENVILLE,SC,11476
GREENWOOD,KS,301
GREENWOOD,SC,1356
GREER,OK,323
GREGG,TX,2836
