end_date,election_type,result_type,special,office,district,name_raw,party,jurisdiction,votes,year,election_day,absentee,provisional,second_absentee
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Jerome Jerry Segal,DEM,Anne Arundel,1555,2018,1166,7,51,18
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Richard Rikki Vaughn,DEM,Anne Arundel,646,2018,433,6,25,14
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Debbie Rica Wilson,DEM,Anne Arundel,1337,2018,901,13,39,17
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Lih Young,DEM,Anne Arundel,664,2018,451,3,19,5
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,Jake Pretot,DEM,Anne Arundel,1619,2018,1187,14,57,21
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,C.A. Dutch Ruppersberger,DEM,Anne Arundel,3661,2018,2384,31,61,38
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Adam D. DeMarco,DEM,Anne Arundel,1651,2018,1200,15,40,19
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,John Rea,DEM,Anne Arundel,595,2018,422,8,21,6
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Eduardo Rosas,DEM,Anne Arundel,1100,2018,782,7,43,12
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,John Sarbanes,DEM,Anne Arundel,12923,2018,8054,186,216,163
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,04,Anthony G. Brown,DEM,Anne Arundel,11141,2018,6662,190,209,167
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,05,Dennis L. Fritz,DEM,Anne Arundel,699,2018,462,4,11,10
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,05,Steny H. Hoyer,DEM,Anne Arundel,3439,2018,2067,30,51,44
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,21,Jim Rosapepe,DEM,Anne Arundel,1940,2018,1051,19,44,18
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,30,Sarah K. Elfreth,DEM,Anne Arundel,6482,2018,3805,145,104,67
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,30,Chrissy Holt,DEM,Anne Arundel,4547,2018,2837,80,86,54
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,31,Scott Harman,DEM,Anne Arundel,5044,2018,3383,28,133,65
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,32,Pamela Beidle,DEM,Anne Arundel,7383,2018,4972,48,164,90
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,33,Eve Hurwitz,DEM,Anne Arundel,8737,2018,5300,123,147,125
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Ben Barnes,DEM,Anne Arundel,1351,2018,709,17,26,19
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Matt Dernoga,DEM,Anne Arundel,925,2018,564,8,17,6
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Mary A. Lehman,DEM,Anne Arundel,816,2018,407,7,14,7
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,"James E. McDowell, Jr.",DEM,Anne Arundel,208,2018,110,1,8,4
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Joseline Peña-Melnyk,DEM,Anne Arundel,1635,2018,855,19,32,17
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Brencis Smith,DEM,Anne Arundel,271,2018,151,0,7,6
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Aron Axe,DEM,Anne Arundel,2773,2018,1691,62,59,23
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Mike Busch,DEM,Anne Arundel,5832,2018,3378,158,99,64
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Alice Cain,DEM,Anne Arundel,4053,2018,2458,94,71,52
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Mary Reese,DEM,Anne Arundel,1841,2018,1052,54,45,20
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30B,Susan Cochran,DEM,Anne Arundel,948,2018,584,9,11,10
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30B,Mike Shay,DEM,Anne Arundel,1429,2018,911,8,12,12
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30B,Carmen Skarlupka,DEM,Anne Arundel,261,2018,171,1,4,5
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31A,Ned Carey,DEM,Anne Arundel,1811,2018,1154,18,39,27
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,Harry E. Freeman,DEM,Anne Arundel,2894,2018,1993,9,69,40
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,Karen Patricia Simpson,DEM,Anne Arundel,3184,2018,2181,11,76,42
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Patrick Armstrong,DEM,Anne Arundel,1939,2018,1356,16,50,25
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,J. Sandy Bartlett,DEM,Anne Arundel,4200,2018,2748,26,65,49
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Mark S. Chang,DEM,Anne Arundel,4591,2018,3107,35,79,61
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Jenese Jones,DEM,Anne Arundel,2639,2018,1764,18,61,30
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Derek Kent,DEM,Anne Arundel,1583,2018,1104,16,37,28
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Mike Rogers,DEM,Anne Arundel,3795,2018,2412,24,69,40
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Theodore Sophocleus,DEM,Anne Arundel,1863,2018,1241,15,35,31
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Heather Bagnall,DEM,Anne Arundel,8133,2018,4927,117,130,119
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Tracie Cramer Hovermale,DEM,Anne Arundel,7938,2018,4785,114,124,118
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Pam Luby,DEM,Anne Arundel,8078,2018,4889,112,122,118
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Larry Hogan,REP,Anne Arundel,27386,2018,19013,177,456,303
2018-06-26T00:00:00Z,primary,certified,FALSE,Comptroller,NA,Anjali Reed Phukan,REP,Anne Arundel,22267,2018,15493,134,373,254
2018-06-26T00:00:00Z,primary,certified,FALSE,Attorney General,NA,Craig Wolf,REP,Anne Arundel,23322,2018,16166,144,385,270
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Tony Campbell,REP,Anne Arundel,6895,2018,4845,46,113,81
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Chris Chaffee,REP,Anne Arundel,6245,2018,4367,23,81,61
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Evan M. Cronhardt,REP,Anne Arundel,615,2018,419,5,10,15
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Nnabu Eze,REP,Anne Arundel,449,2018,309,4,14,4
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,John R. Graziani,REP,Anne Arundel,2110,2018,1452,12,31,30
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Christina J. Grigorian,REP,Anne Arundel,4123,2018,2867,18,62,39
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Albert Binyahmin Howard,REP,Anne Arundel,283,2018,181,2,8,4
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Bill Krehnbrink,REP,Anne Arundel,454,2018,298,2,10,9
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,"Gerald I. Smith, Jr.",REP,Anne Arundel,796,2018,523,12,14,13
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Blaine Taylor,REP,Anne Arundel,695,2018,506,8,10,9
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Brian Charles Vaeth,REP,Anne Arundel,732,2018,527,5,8,5
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,Liz Matory,REP,Anne Arundel,600,2018,397,4,16,12
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,"Hubert Owens, Jr.",REP,Anne Arundel,306,2018,219,0,8,9
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,Mark Shell,REP,Anne Arundel,375,2018,279,0,3,3
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,"Mitchell J. Toland, Jr.",REP,Anne Arundel,137,2018,101,1,4,4
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Charles Anthony,REP,Anne Arundel,3363,2018,2443,17,49,44
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Thomas E. Pinkston Harris,REP,Anne Arundel,2577,2018,1902,12,34,23
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Rob Seyfferth,REP,Anne Arundel,1426,2018,1031,15,17,22
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,04,George McDermott,REP,Anne Arundel,10824,2018,7363,84,155,117
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,05,"William A. Devine, III",REP,Anne Arundel,1759,2018,1169,7,24,16
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,05,Johnny Rice,REP,Anne Arundel,1088,2018,754,6,12,5
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,21,Lee Havis,REP,Anne Arundel,820,2018,517,0,16,16
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,30,Ron George,REP,Anne Arundel,5613,2018,3746,48,87,70
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,31,Bryan W. Simonaire,REP,Anne Arundel,6200,2018,4684,30,88,66
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,32,Maureen Bryant,REP,Anne Arundel,1681,2018,1232,11,21,29
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,32,John Grasso,REP,Anne Arundel,1754,2018,1201,8,27,25
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,33,Edward R. Reilly,REP,Anne Arundel,8619,2018,5788,66,101,75
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Chike Anyanwu,REP,Anne Arundel,686,2018,429,0,13,14
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,21,Richard Douglas,REP,Anne Arundel,780,2018,489,0,15,16
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,B. Darren Burns,REP,Anne Arundel,1064,2018,704,13,15,11
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Chelsea Gill,REP,Anne Arundel,1264,2018,820,14,23,19
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Bob O'Shea,REP,Anne Arundel,2091,2018,1407,21,32,24
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30A,Doug Rathell,REP,Anne Arundel,945,2018,647,7,15,19
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30B,Seth Howard,REP,Anne Arundel,1818,2018,1238,11,18,19
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,30B,Tom Walters,REP,Anne Arundel,658,2018,439,3,18,3
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31A,Brooks Bennett,REP,Anne Arundel,919,2018,662,0,9,11
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,Brian Chisholm,REP,Anne Arundel,4119,2018,3135,24,57,46
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,Nicholaus R. Kipke,REP,Anne Arundel,4579,2018,3476,22,59,45
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,John R. Leopold,REP,Anne Arundel,1030,2018,801,6,16,12
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,31B,David Therrien,REP,Anne Arundel,863,2018,697,3,10,9
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Mark E. Bailey,REP,Anne Arundel,2447,2018,1729,10,41,38
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Patty Ewing,REP,Anne Arundel,3049,2018,2150,16,49,49
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,32,Tim Walters,REP,Anne Arundel,2701,2018,1908,10,46,45
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Tom Angelis,REP,Anne Arundel,1214,2018,794,13,20,11
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Stacie MacDonald,REP,Anne Arundel,3925,2018,2719,22,44,25
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Michael Edward Malone,REP,Anne Arundel,5145,2018,3436,47,42,44
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Tony McConkey,REP,Anne Arundel,4249,2018,2848,36,44,47
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Connor McCoy,REP,Anne Arundel,798,2018,528,11,13,14
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Sid Saab,REP,Anne Arundel,6799,2018,4569,47,55,54
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,33,Jerry Walker,REP,Anne Arundel,3304,2018,2175,32,47,24
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"Rushern L. Baker, III",DEM,Baltimore,14576,2018,8661,309,188,95
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ralph Jaffe,DEM,Baltimore,1558,2018,1103,20,28,8
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ben Jealous,DEM,Baltimore,34106,2018,21571,527,554,207
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"James Hugh Jones, II",DEM,Baltimore,1024,2018,735,13,34,3
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Valerie Ervin,DEM,Baltimore,4798,2018,3237,128,117,24
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Rich Madaleno,DEM,Baltimore,3209,2018,1994,81,44,36
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Alec Ross,DEM,Baltimore,2005,2018,1342,44,29,11
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Jim Shea,DEM,Baltimore,13312,2018,8817,274,193,92
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Krish O'Mara Vignarajah,DEM,Baltimore,7771,2018,5373,132,125,58
2018-06-26T00:00:00Z,primary,certified,FALSE,Comptroller,NA,Peter Franchot,DEM,Baltimore,71887,2018,45933,1365,1104,458
2018-06-26T00:00:00Z,primary,certified,FALSE,Attorney General,NA,Brian E. Frosh,DEM,Baltimore,70001,2018,44565,1366,1076,461
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Ben Cardin,DEM,Baltimore,68223,2018,42536,1392,973,470
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Erik Jetmir,DEM,Baltimore,1199,2018,868,24,12,13
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Chelsea Manning,DEM,Baltimore,4249,2018,3014,67,118,28
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Marcia H. Morgan,DEM,Baltimore,1835,2018,1256,30,43,12
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Jerome Jerry Segal,DEM,Baltimore,3272,2018,2400,45,56,27
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Richard Rikki Vaughn,DEM,Baltimore,1441,2018,1050,25,29,6
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Debbie Rica Wilson,DEM,Baltimore,2235,2018,1571,36,57,14
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Lih Young,DEM,Baltimore,1489,2018,1045,17,30,8
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Michael Brown,DEM,Baltimore,597,2018,400,3,2,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Jesse Colvin,DEM,Baltimore,1244,2018,765,14,11,11
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Allison Galbraith,DEM,Baltimore,1389,2018,926,13,12,18
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Erik Lane,DEM,Baltimore,117,2018,84,1,2,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Michael Pullen,DEM,Baltimore,341,2018,222,7,1,8
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,01,Steve Worton,DEM,Baltimore,210,2018,137,1,1,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,Jake Pretot,DEM,Baltimore,7719,2018,5536,112,165,46
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,02,C.A. Dutch Ruppersberger,DEM,Baltimore,31613,2018,19805,634,383,200
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,Adam D. DeMarco,DEM,Baltimore,1268,2018,885,34,25,17
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,03,John Rea,DEM,Baltimore,465,2018,341,9,10,1
